Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2015-2016,Michael Hutchinson,WPG,G,29.4,19.1,66.2,58.8,50.0,10.3,54.4,60.3,29.4,41.2,29.4,50.0,44.1,49,56,24,29,35,62,32,28,49,41,49,35,39,68,Backup,30.0,1585.9,0.906832298136646,2.8375055173718393,68.54615189893889,75.0,8474636,G,75.0,201.0,1990-03-02,CAN,2008.0,3.0,77.0,R,9,15,3,0,25,"[None, None, None, 62, 11]","[None, None, None, 69, 8]","[None, None, None, 43, 67]","[None, None, None, 'WPG', 'WPG']"
2015-2016,Michal Neuvirth,PHI,G,72.1,54.4,77.9,73.5,38.2,61.8,19.1,29.4,41.2,5.9,98.5,100.0,36.8,20,32,16,19,43,27,56,49,41,64,2,1,44,68,Backup,32.0,1825.1833333333336,0.9240088105726872,2.268265288418515,77.96921312000211,69.0,8473607,G,73.0,209.0,1988-03-23,CZE,2006.0,2.0,34.0,L,18,8,4,3,27,"[13, 38, 49, 46, 83]","[17, 29, 34, 59, 60]","[36, 77, 83, 14, 95]","['WSH', 'WSH', 'BUF', 'NYI', 'PHI']"
2015-2016,Mike Condon,MTL,G,1.5,1.5,8.8,82.4,5.9,19.1,55.9,73.5,1.5,29.4,19.1,75.0,80.9,68,68,63,13,65,56,31,19,68,49,56,18,14,68,Starter,55.0,3122.7,0.9032921810699588,2.7091939667595355,122.3931798679388,141.0,8477237,G,74.0,196.0,1990-04-27,USA,,,,L,21,25,6,1,25,"[None, None, None, None, 4]","[None, None, None, None, 4]","[None, None, None, None, 22]","[None, None, None, None, 'MTL']"
2015-2016,Mike Smith,ARI,G,55.9,69.1,26.5,75.0,48.5,64.7,33.8,20.6,70.6,54.4,41.2,2.9,70.6,31,22,51,18,36,25,46,55,21,32,41,67,21,68,Backup,32.0,1753.5,0.9163952225841476,2.6347305389221556,74.8378695078516,77.0,8469608,G,77.0,220.0,1982-03-22,CAN,2001.0,5.0,161.0,L,15,13,2,3,33,"[98, 64, 77, 12, 75]","[98, 82, 88, 8, 85]","[89, 15, 6, 54, 30]","['PHX', 'PHX', 'PHX', 'ARI', 'ARI']"
2015-2016,Ondrej Pavelec,WPG,G,58.8,66.2,45.6,91.2,75.0,30.9,85.3,35.3,66.2,57.4,44.1,29.4,61.8,29,24,38,7,18,48,11,45,24,30,39,49,27,68,Tandem (1B),33.0,1899.0666666666664,0.9041394335511984,2.78031313627747,84.53044403277701,88.0,8471715,G,75.0,212.0,1987-08-31,CZE,2005.0,2.0,41.0,L,13,13,4,1,28,"[81, 42, 26, 87, 30]","[75, 40, 22, 85, 48]","[51, 42, 37, 88, 20]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2015-2016,Pekka Rinne,NSH,G,5.9,17.6,11.8,83.8,52.9,8.8,91.2,98.5,25.0,20.6,11.8,8.8,86.8,65,57,61,12,33,63,7,2,52,55,61,63,10,68,Starter,66.0,3895.366666666667,0.9077363896848136,2.4798692463696184,134.2625335419453,161.0,8471469,G,77.0,217.0,1982-11-03,FIN,2004.0,8.0,258.0,L,34,21,10,4,32,"[58, 45, 1, 75, 2]","[46, 61, 1, 82, 10]","[70, 10, 49, 30, 7]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2015-2016,Petr Mrazek,DET,G,76.5,77.9,64.7,69.1,57.4,67.6,92.6,75.0,57.4,91.2,80.9,42.6,64.7,17,16,25,22,30,23,6,18,30,7,14,40,25,68,Starter,54.0,2957.516666666667,0.9205801104972376,2.333038416238849,121.01942648749784,115.0,8475852,G,74.0,192.0,1992-02-14,CZE,2010.0,5.0,141.0,L,27,16,6,4,23,"[None, None, None, 64, 82]","[None, None, None, 64, 76]","[None, None, None, 61, 55]","[None, None, None, 'DET', 'DET']"
2015-2016,Philipp Grubauer,WSH,G,66.2,35.3,86.8,92.6,61.8,32.4,88.2,61.8,86.8,39.7,27.9,64.7,10.3,24,45,10,6,27,47,9,27,10,42,50,25,62,68,Backup,22.0,1110.45,0.9177820267686424,2.3233824125354587,45.14555206060544,43.0,8475831,G,73.0,188.0,1991-11-25,DEU,2010.0,4.0,112.0,L,8,9,1,0,23,"[None, None, 55, None, 64]","[None, None, 32, None, 42]","[None, None, 94, None, 89]","[None, None, 'WSH', None, 'WSH']"
2015-2016,Reto Berra,COL,G,32.4,44.1,29.4,8.8,10.3,98.5,16.2,48.5,75.0,19.1,76.5,19.1,8.8,47,39,49,63,62,2,58,36,18,56,17,56,63,68,Backup,14.0,720.5833333333334,0.9224598930481284,2.4147103041517286,29.33101036220792,29.0,8473499,G,76.0,218.0,1987-01-03,CHE,2006.0,4.0,106.0,L,5,8,0,2,28,"[None, None, 10, 37, 51]","[None, None, 11, 48, 64]","[None, None, 29, 37, 26]","[None, None, 'COL', 'COL', 'COL']"
2015-2016,Roberto Luongo,FLA,G,47.1,82.4,1.5,54.4,80.9,48.5,70.6,79.4,20.6,26.5,72.1,79.4,92.6,37,13,68,32,14,36,21,15,55,51,20,15,6,68,Starter,62.0,3601.8,0.9217101610216546,2.348825587206397,136.8028273777875,141.0,8466141,G,75.0,215.0,1979-04-04,CAN,1997.0,1.0,4.0,L,35,19,6,4,36,"[65, 31, 67, 53, 36]","[81, 43, 76, 66, 79]","[22, 22, 17, 12, 2]","['VAN', 'VAN', 'FLA', 'FLA', 'FLA']"
2015-2016,Robin Lehner,BUF,G,19.1,8.8,70.6,35.3,4.4,20.6,45.6,50.0,44.1,38.2,26.5,23.5,30.9,56,63,21,45,66,55,38,35,39,43,51,53,48,68,Backup,21.0,1144.0833333333333,0.9244094488188976,2.5172991477893514,46.444789076269934,48.0,8475215,G,76.0,250.0,1991-07-24,SWE,2009.0,2.0,46.0,L,5,9,5,1,24,"[None, 77, 37, 4, 39]","[None, 54, 23, 6, 22]","[None, 91, 77, 24, 83]","[None, 'OTT', 'OTT', 'OTT', 'BUF']"
2015-2016,Ryan Miller,VAN,G,60.3,64.7,47.1,72.1,45.6,45.6,82.4,22.1,67.6,23.5,61.8,57.4,76.5,28,25,37,20,38,38,13,54,23,53,27,30,17,68,Starter,51.0,3043.483333333333,0.916156670746634,2.700852641436074,138.86117672858222,137.0,8468011,G,74.0,170.0,1980-07-17,USA,1999.0,5.0,138.0,L,17,24,9,1,35,"[56, 80, 44, 38, 70]","[70, 78, 29, 24, 89]","[19, 70, 91, 80, 17]","['BUF', 'BUF', 'STL', 'VAN', 'VAN']"
2015-2016,Scott Darling,CHI,G,57.4,47.1,63.2,5.9,94.1,69.1,44.1,36.8,33.8,95.6,85.3,89.7,22.1,30,37,26,65,5,22,39,44,46,4,11,8,54,68,Backup,29.0,1556.5333333333333,0.9145408163265306,2.582662326537605,65.0169134678585,67.0,8474152,G,77.0,226.0,1988-12-22,USA,2007.0,6.0,153.0,L,12,8,4,1,26,"[None, None, None, 72, 35]","[None, None, None, 75, 27]","[None, None, None, 41, 63]","[None, None, None, 'CHI', 'CHI']"
2015-2016,Semyon Varlamov,COL,G,91.2,76.5,98.5,23.5,17.6,85.3,2.9,10.3,92.6,63.2,50.0,51.5,85.3,7,17,2,53,57,11,67,62,6,26,35,34,11,68,Starter,57.0,3158.7833333333333,0.91365227537923,2.8112089570351455,144.99964084297724,148.0,8473575,G,74.0,201.0,1988-04-27,RUS,2006.0,1.0,23.0,L,27,25,3,2,27,"[74, 54, 100, 90, 41]","[84, 31, 98, 54, 54]","[29, 86, 89, 100, 38]","['COL', 'COL', 'COL', 'COL', 'COL']"
2015-2016,Sergei Bobrovsky,CBJ,G,30.9,23.5,58.8,50.0,35.3,26.5,64.7,64.7,48.5,45.6,33.8,11.8,67.6,48,53,29,35,45,51,25,25,36,38,46,61,23,68,Tandem (1B),37.0,2116.35,0.907530981887512,2.750017719186335,87.3931947937563,97.0,8475683,G,74.0,180.0,1988-09-20,RUS,,,,L,15,19,1,1,26,"[41, 93, 73, 54, 10]","[56, 94, 52, 50, 16]","[37, 64, 86, 74, 36]","['PHI', 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2015-2016,Steve Mason,PHI,G,92.6,98.5,7.4,77.9,97.1,63.2,8.8,23.5,63.2,70.6,55.9,69.1,79.4,6,2,64,16,3,26,63,53,26,21,31,22,15,68,Starter,54.0,3150.733333333333,0.9176029962546816,2.5137005141660143,138.01307755845102,132.0,8473461,G,76.0,210.0,1988-05-29,CAN,2006.0,3.0,69.0,R,23,19,10,4,27,"[1, 43, 40, 98, 77]","[1, 19, 31, 98, 97]","[1, 87, 79, 16, 4]","['CBJ', 'PHI', 'PHI', 'PHI', 'PHI']"
2015-2016,Thomas Greiss,NYI,G,83.8,88.2,69.1,4.4,86.8,89.7,38.2,41.2,52.9,64.7,51.5,55.9,39.7,12,9,22,66,10,8,43,41,33,25,34,31,42,68,Tandem (1A),41.0,2287.483333333333,0.9245283018867924,2.4131323361190247,110.30717160728165,92.0,8471306,G,74.0,219.0,1986-01-29,DEU,2004.0,3.0,94.0,L,23,11,4,1,29,"[25, None, 68, 30, 98]","[37, None, 71, 21, 98]","[20, None, 40, 75, 61]","['SJS', None, 'PHX', 'PIT', 'NYI']"
2015-2016,Tuukka Rask,BOS,G,69.1,80.9,23.5,27.9,89.7,38.2,83.8,70.6,76.5,58.8,45.6,45.6,98.5,22,14,53,50,8,43,12,21,17,29,38,38,2,68,Starter,64.0,3677.8166666666666,0.9149388623072834,2.610244302552692,153.2489490419171,160.0,8471695,G,75.0,176.0,1987-03-10,FIN,2005.0,1.0,21.0,L,31,22,8,4,28,"[72, 96, 88, 69, 33]","[50, 96, 95, 79, 45]","[77, 73, 13, 29, 35]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
