Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2014-2015,8469548,Ray Emery,PHI,G,16.1,32.3,4.8,37.1,40.3,45.2,6.5,41.9,27.4,14.5,14.5,14.5,35.5,53,43,60,40,38,35,59,37,46,54,54,53,41,62,Backup,31.0,1569.5166666666669,0.8944591029023746,3.058266345265528,66.50785556213756,80.0,G,74.0,196.0,1982-09-28,CAN,2001.0,4.0,99.0,L,10,11,7,0,31,"[None, 36, 66, 40, 9]","[None, 8, 63, 47, 25]","[None, 94, 68, 41, 1]","[None, 'CHI', 'CHI', 'PHI', 'PHI']"
2014-2015,8473499,Reto Berra,COL,G,12.9,17.7,29.0,9.7,16.1,85.5,21.0,35.5,8.1,17.7,17.7,46.8,16.1,55,52,45,57,53,10,50,41,58,52,52,33,53,62,Backup,19.0,728.0833333333334,0.9256756756756755,2.7194689252603865,34.418373175837054,33.0,G,76.0,218.0,1987-01-03,CHE,2006.0,4.0,106.0,L,5,4,1,1,27,"[None, None, None, 10, 40]","[None, None, None, 10, 48]","[None, None, None, 28, 35]","[None, None, None, 'COL', 'COL']"
2014-2015,8466141,Roberto Luongo,FLA,G,50.0,67.7,3.2,29.0,30.6,67.7,46.8,80.6,30.6,30.6,30.6,72.6,80.6,32,21,61,45,44,21,34,13,44,44,44,17,13,62,Starter,61.0,3523.1833333333334,0.9208261617900172,2.3501473572668656,128.5716667066237,138.0,G,75.0,215.0,1979-04-04,CAN,1997.0,1.0,4.0,L,28,19,12,2,35,"[87, 65, 29, 65, 51]","[93, 79, 43, 77, 66]","[66, 20, 22, 17, 12]","['VAN', 'VAN', 'VAN', 'FLA', 'FLA']"
2014-2015,8475215,Robin Lehner,OTT,G,11.3,4.8,61.3,43.5,14.5,16.1,35.5,19.4,11.3,32.3,32.3,35.5,32.3,56,60,25,36,54,53,41,51,56,43,43,40,43,62,Backup,25.0,1466.5833333333333,0.9050064184852374,3.0274447411784764,60.49306288547497,74.0,G,76.0,250.0,1991-07-24,SWE,2009.0,2.0,46.0,L,9,12,3,0,23,"[None, None, 77, 35, 4]","[None, None, 54, 22, 6]","[None, None, 93, 79, 24]","[None, None, 'OTT', 'OTT', 'OTT']"
2014-2015,8468011,Ryan Miller,VAN,G,48.4,21.0,85.5,66.1,19.4,43.5,54.8,30.6,85.5,59.7,59.7,19.4,69.4,33,50,10,22,51,36,29,44,10,26,26,50,20,62,Tandem (1A),45.0,2540.9666666666667,0.9107589658048374,2.5265974891445513,103.12049769044052,107.0,G,74.0,170.0,1980-07-17,USA,1999.0,5.0,138.0,L,29,15,1,6,34,"[69, 58, 80, 43, 38]","[62, 70, 75, 29, 24]","[83, 19, 71, 91, 80]","['BUF', 'BUF', 'BUF', 'STL', 'VAN']"
2014-2015,8474152,Scott Darling,CHI,G,77.4,82.3,46.8,1.6,100.0,96.8,33.9,33.9,93.5,100.0,100.0,100.0,1.6,15,12,34,62,1,3,42,42,5,1,1,1,62,62,Backup,14.0,832.5166666666667,0.935560859188544,1.9459069888490723,35.48440235185927,27.0,G,77.0,226.0,1988-12-22,USA,2007.0,6.0,153.0,L,9,4,0,1,25,"[None, None, None, None, 72]","[None, None, None, None, 75]","[None, None, None, None, 41]","[None, None, None, None, 'CHI']"
2014-2015,8473575,Semyon Varlamov,COL,G,95.2,77.4,100.0,24.2,38.7,69.4,1.6,4.8,72.6,71.0,71.0,93.5,87.1,4,15,1,48,39,20,62,60,18,19,19,5,9,62,Starter,57.0,3287.2,0.9212730318257956,2.57361888537357,154.0670540288716,141.0,G,74.0,201.0,1988-04-27,RUS,2006.0,1.0,23.0,L,28,20,8,5,26,"[75, 74, 52, 100, 90]","[80, 84, 31, 98, 53]","[43, 27, 87, 89, 100]","['WSH', 'COL', 'COL', 'COL', 'COL']"
2014-2015,8475683,Sergei Bobrovsky,CBJ,G,66.1,62.9,79.0,50.0,53.2,59.7,91.9,64.5,69.4,33.9,33.9,25.8,75.8,22,24,14,32,30,26,6,23,20,42,42,46,16,62,Starter,51.0,2989.366666666667,0.9193742478941036,2.6895328999453616,130.63569615401846,134.0,G,74.0,180.0,1988-09-20,RUS,,,,L,30,17,3,2,25,"[88, 39, 93, 74, 58]","[88, 56, 94, 55, 51]","[87, 36, 63, 86, 74]","['PHI', 'PHI', 'CBJ', 'CBJ', 'CBJ']"
2014-2015,8473461,Steve Mason,PHI,G,90.3,96.8,54.8,62.9,87.1,71.0,9.7,22.6,56.5,62.9,62.9,62.9,67.7,7,3,29,24,9,19,57,49,28,24,24,23,21,62,Starter,51.0,2885.383333333333,0.931253978357734,2.2458021175695895,128.6273531890457,108.0,G,76.0,210.0,1988-05-29,CAN,2006.0,3.0,69.0,R,18,18,11,3,26,"[16, 1, 42, 46, 98]","[14, 1, 17, 31, 100]","[17, 1, 89, 80, 16]","['CBJ', 'CBJ', 'PHI', 'PHI', 'PHI']"
2014-2015,8471306,Thomas Greiss,PIT,G,46.8,37.1,64.5,11.3,79.0,41.9,66.1,98.4,12.9,8.1,8.1,24.2,14.5,34,40,23,56,14,37,22,2,55,58,58,47,54,62,Backup,20.0,1154.6166666666666,0.9084249084249084,2.598264936414683,42.51475163451003,50.0,G,74.0,219.0,1986-01-29,DEU,2004.0,3.0,94.0,L,9,6,3,0,28,"[None, 25, None, 68, 30]","[None, 37, None, 73, 19]","[None, 22, None, 40, 75]","[None, 'SJS', None, 'PHX', 'PIT']"
2014-2015,8471695,Tuukka Rask,BOS,G,83.9,93.5,17.7,59.7,61.3,74.2,77.4,83.9,59.7,83.9,83.9,61.3,100.0,11,5,52,26,25,17,15,11,26,11,11,24,1,62,Starter,70.0,4062.733333333333,0.9224266534062656,2.303867675292496,154.22126256964086,156.0,G,75.0,176.0,1987-03-10,FIN,2005.0,1.0,21.0,L,34,21,13,3,27,"[37, 69, 96, 88, 71]","[43, 48, 96, 95, 77]","[45, 79, 73, 13, 29]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2014-2015,8476839,Viktor Fasth,EDM,G,9.7,9.7,45.2,3.2,12.9,29.0,24.2,3.2,17.7,21.0,21.0,1.6,30.6,57,57,35,61,55,45,48,61,52,50,50,61,44,62,Backup,26.0,1336.4833333333331,0.8883994126284875,3.4119392934192967,63.55616760886789,76.0,G,72.0,181.0,1982-08-08,SWE,,,,L,6,15,3,0,32,"[None, None, 75, None, 11]","[None, None, 61, None, 9]","[None, None, 80, None, 33]","[None, None, 'ANA', None, 'EDM']"
