Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,evo_history,evd_history,ppl_history,pkl_history,team_history
2015-2016,Dan Boyle,NYR,D,132.0,119.0,58.0,,57.0,120.0,163.0,27.0,210.0,11.0,98.0,166.0,,74.0,Second Pair,74,1392.2666666667,10,14,24,8.04,53.41,48.43,39,1976-07-12,CAN,CAN,71,194,-,-,-,8467096.0,"[85, 65, 56, 45, 38]","[29, 76, 38, 90, 32]","[86, 78, 76, 62, 38]","[29, 69, None, 80, None]","['SJS', 'SJS', 'SJS', 'NYR', 'NYR']"
2015-2016,Dan Girardi,NYR,D,107.0,86.0,,66.0,55.0,217.0,174.0,175.0,76.0,210.0,46.0,35.0,,68.0,Second Pair,74,1503.7333333333,2,15,17,4.28,56.32,43.99,31,1984-04-29,CAN,CAN,73,212,-,-,-,8471958.0,"[32, 30, 38, 62, 48]","[42, 90, 73, 58, 55]","[76, 9, 29, 11, None]","[66, 8, 57, 86, 43]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2015-2016,Dan Hamhuis,VAN,D,99.0,191.0,109.0,70.0,112.0,156.0,123.0,188.0,65.0,171.0,75.0,144.0,,108.0,Second Pair,58,1242.0833333333,3,10,13,3.48,44.12,48.84,32,1982-12-13,CAN,CAN,73,204,2001,1,12,8469465.0,"[93, 89, 92, 58, 44]","[52, 65, 66, 7, 19]","[86, 36, 28, 32, 3]","[64, 45, 78, 56, 52]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2015-2016,Danny DeKeyser,DET,D,133.0,116.0,,44.0,168.0,34.0,200.0,83.0,113.0,132.0,148.0,170.0,,119.0,Second Pair,78,1700.75,8,12,20,3.17,46.59,50.35,25,1990-03-07,USA,USA,75,183,-,-,-,8477215.0,"[None, 53, 34, 49, 38]","[None, 64, 71, 41, 42]","[None, None, 17, 64, None]","[None, 42, 62, 87, 57]","[None, 'DET', 'DET', 'DET', 'DET']"
2015-2016,Darnell Nurse,EDM,D,153.0,215.0,,172.0,187.0,227.0,13.0,78.0,197.0,188.0,172.0,24.0,,105.0,Second Pair,69,1395.9166666667,3,7,10,5.11,41.67,44.24,20,1995-02-04,CAN,CAN,76,221,2013,1,7,8477498.0,"[None, None, None, None, 39]","[None, None, None, None, 11]","[None, None, None, None, None]","[None, None, None, None, 5]","[None, None, None, None, 'EDM']"
2015-2016,David Savard,CBJ,D,80.0,61.0,75.0,71.0,110.0,159.0,98.0,67.0,86.0,181.0,185.0,54.0,,59.0,First Pair,65,1506.2166666667,4,21,25,5.79,48.86,50.70,24,1990-10-22,CAN,CAN,73,235,2009,4,94,8475233.0,"[38, None, 16, 34, 87]","[29, None, 87, 50, 75]","[12, None, None, 67, 27]","[None, None, 85, 21, 72]","['CBJ', None, 'CBJ', 'CBJ', 'CBJ']"
2015-2016,David Schlemko,NJD,D,188.0,60.0,4.0,18.0,193.0,89.0,94.0,61.0,214.0,30.0,117.0,154.0,,101.0,Second Pair,67,1249.4833333333,6,13,19,5.39,40.58,50.62,28,1987-05-07,CAN,CAN,73,191,-,-,-,8473673.0,"[70, 51, 73, 19, 24]","[39, 78, 75, 71, 71]","[None, 11, 58, None, 94]","[63, 79, 60, 85, 91]","['PHX', 'PHX', 'PHX', 'CGY', 'NJD']"
2015-2016,David Warsofsky,NJD,D,222.0,227.0,78.0,,226.0,149.0,26.0,207.0,229.0,21.0,16.0,226.0,,145.0,Third Pair,22,376.71666666667,1,1,2,1.76,27.78,49.69,25,1990-05-30,USA,USA,69,170,2008,4,95,8474660.0,"[None, None, None, None, 6]","[None, None, None, None, 2]","[None, None, None, None, 33]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2015-2016,David Warsofsky,PIT,D,222.0,227.0,78.0,,226.0,149.0,26.0,207.0,229.0,21.0,16.0,226.0,,145.0,Third Pair,22,376.71666666667,1,1,2,1.76,27.78,49.69,25,1990-05-30,USA,USA,69,170,2008,4,95,8474660.0,"[None, None, None, None, 6]","[None, None, None, None, 2]","[None, None, None, None, 33]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2015-2016,Dennis Seidenberg,BOS,D,139.0,52.0,,8.0,151.0,140.0,155.0,180.0,106.0,133.0,146.0,48.0,,104.0,Second Pair,61,1183.25,1,11,12,2.46,48.75,46.81,34,1981-07-18,DEU,DEU,72,199,2001,6,172,8469619.0,"[57, 55, 80, 16, 50]","[80, 97, 47, 70, 80]","[47, 28, None, None, None]","[46, 91, 96, 71, 97]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2015-2016,Dennis Wideman,CGY,D,109.0,180.0,59.0,135.0,120.0,219.0,135.0,159.0,87.0,20.0,37.0,161.0,,34.0,Second Pair,51,1051.3666666667,2,17,19,4.41,44.07,46.14,32,1983-03-20,CAN,CAN,72,202,2002,8,241,8469770.0,"[76, 69, 51, 66, 42]","[17, 26, 8, 38, 21]","[66, 52, 31, 92, 29]","[43, 72, 2, 90, 16]","['WSH', 'CGY', 'CGY', 'CGY', 'CGY']"
2015-2016,Derrick Pouliot,PIT,D,82.0,55.0,113.0,,75.0,42.0,85.0,185.0,71.0,143.0,73.0,187.0,,159.0,Third Pair,22,339.96666666667,0,7,7,1.54,61.90,62.83,21,1994-01-16,CAN,CAN,72,196,2012,1,8,8476884.0,"[None, None, None, 26, 81]","[None, None, None, 18, 92]","[None, None, None, 58, 0]","[None, None, None, None, None]","[None, None, None, 'PIT', 'PIT']"
2015-2016,Deryk Engelland,CGY,D,186.0,51.0,,137.0,194.0,199.0,131.0,79.0,196.0,137.0,147.0,30.0,,155.0,Third Pair,69,1050.9666666667,3,9,12,2.57,50.68,45.16,33,1982-04-03,CAN,CAN,74,212,2000,6,194,8468674.0,"[85, 41, 39, 6, 44]","[44, 63, 56, 68, 79]","[None, None, None, None, None]","[79, 82, 30, 65, 18]","['PIT', 'PIT', 'PIT', 'CGY', 'CGY']"
2015-2016,Dion Phaneuf,OTT,D,51.0,145.0,56.0,141.0,101.0,215.0,46.0,112.0,37.0,141.0,74.0,23.0,,45.0,First Pair,71,1586.6166666667,4,28,32,7.81,44.30,50.61,30,1985-04-10,CAN,CAN,75,222,2003,1,9,8470602.0,"[72, 58, 65, 61, 82]","[9, 5, 25, 19, 50]","[65, 91, 25, 69, 45]","[12, 55, 8, 7, 40]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2015-2016,Dion Phaneuf,TOR,D,51.0,145.0,56.0,141.0,101.0,215.0,46.0,112.0,37.0,141.0,74.0,23.0,,45.0,First Pair,71,1586.6166666667,4,28,32,7.81,44.30,50.61,30,1985-04-10,CAN,CAN,75,222,2003,1,9,8470602.0,"[72, 58, 65, 61, 82]","[9, 5, 25, 19, 50]","[65, 91, 25, 69, 45]","[12, 55, 8, 7, 40]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2015-2016,Dmitry Kulikov,FLA,D,155.0,50.0,68.0,152.0,152.0,67.0,151.0,178.0,114.0,178.0,158.0,73.0,,102.0,Second Pair,74,1556.55,1,16,17,4.35,50.57,47.96,24,1990-10-29,RUS,RUS,73,201,2009,1,14,8475179.0,"[82, 13, 27, 32, 42]","[57, 16, 19, 74, 84]","[67, 74, 16, 49, 42]","[18, 39, 6, 37, 17]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2015-2016,Dmitry Orlov,WSH,D,30.0,89.0,,,17.0,96.0,144.0,11.0,51.0,36.0,4.0,82.0,,146.0,Third Pair,82,1314.1666666667,8,21,29,4.5,56.07,51.93,24,1991-07-23,RUS,RUS,71,214,2009,2,55,8475200.0,"[60, None, 31, None, 92]","[12, None, 62, None, 57]","[None, None, None, None, None]","[None, None, None, None, None]","['WSH', None, 'WSH', None, 'WSH']"
2015-2016,Dougie Hamilton,CGY,D,37.0,193.0,17.0,,87.0,167.0,11.0,42.0,73.0,104.0,139.0,129.0,,32.0,Second Pair,82,1620.9166666667,12,31,43,10.84,44.55,48.79,22,1993-06-17,CAN,CAN,78,230,2011,1,9,8476462.0,"[None, 96, 75, 77, 83]","[None, 18, 77, 21, 9]","[None, 63, 62, 82, 83]","[None, None, None, 1, None]","[None, 'BOS', 'BOS', 'BOS', 'CGY']"
2015-2016,Drew Doughty,LAK,D,54.0,177.0,16.0,174.0,30.0,4.0,43.0,84.0,83.0,102.0,123.0,118.0,,12.0,First Pair,82,2297.4666666667,14,37,51,10.54,57.01,55.89,25,1989-12-08,CAN,CAN,73,210,2008,1,2,8474563.0,"[87, 49, 87, 90, 57]","[23, 19, 27, 26, 26]","[38, 84, 46, 68, 90]","[31, 43, 24, 20, 1]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2015-2016,Duncan Keith,CHI,D,38.0,102.0,53.0,140.0,52.0,81.0,58.0,56.0,52.0,167.0,88.0,229.0,,19.0,First Pair,67,1690.7666666667,9,34,43,5.92,50.62,50.52,32,1983-07-16,CAN,CAN,73,192,2002,2,54,8470281.0,"[88, 90, 98, 83, 69]","[32, 61, 30, 39, 68]","[58, 72, 69, 63, 49]","[42, 75, 56, 48, 16]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2015-2016,Dustin Byfuglien,WPG,D,6.0,157.0,21.0,98.0,43.0,170.0,8.0,2.0,31.0,76.0,214.0,29.0,,7.0,First Pair,81,2041.0,19,34,53,16.61,53.33,52.10,30,1985-03-27,USA,USA,77,260,2003,8,245,8470834.0,"[99, 95, 97, 90, 98]","[11, 1, 9, 55, 30]","[84, 76, 93, 88, 74]","[None, None, 75, 31, 50]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2015-2016,Dylan DeMelo,SJS,D,225.0,70.0,47.0,,159.0,11.0,140.0,222.0,228.0,37.0,21.0,121.0,,224.0,Third Pair,45,612.81666666667,2,2,4,2.42,48.28,58.47,22,1993-05-01,CAN,CAN,72,195,2011,6,179,8476331.0,"[None, None, None, None, 4]","[None, None, None, None, 69]","[None, None, None, None, 60]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2015-2016,Dylan McIlrath,NYR,D,160.0,53.0,,154.0,99.0,60.0,130.0,55.0,212.0,53.0,230.0,7.0,,216.0,Third Pair,34,480.21666666667,2,2,4,0.95,62.96,49.06,23,1992-04-20,CAN,CAN,77,232,2010,1,10,8475795.0,"[None, None, None, None, 36]","[None, None, None, None, 75]","[None, None, None, None, None]","[None, None, None, None, 20]","[None, None, None, None, 'NYR']"
2015-2016,Eric Gelinas,COL,D,117.0,103.0,19.0,,211.0,33.0,36.0,168.0,84.0,7.0,198.0,60.0,,150.0,Third Pair,40,553.38333333333,1,5,6,2.25,46.43,50.58,24,1991-05-08,CAN,CAN,76,215,2009,2,54,8475199.0,"[None, None, 73, 61, 37]","[None, None, 38, 65, 50]","[None, None, 99, 86, 73]","[None, None, None, None, None]","[None, None, 'NJD', 'NJD', 'NJD']"
2015-2016,Eric Gelinas,NJD,D,117.0,103.0,19.0,,211.0,33.0,36.0,168.0,84.0,7.0,198.0,60.0,,150.0,Third Pair,40,553.38333333333,1,5,6,2.25,46.43,50.58,24,1991-05-08,CAN,CAN,76,215,2009,2,54,8475199.0,"[None, None, 73, 61, 37]","[None, None, 38, 65, 50]","[None, None, 99, 86, 73]","[None, None, None, None, None]","[None, None, 'NJD', 'NJD', 'NJD']"
2015-2016,Eric Gryba,EDM,D,149.0,199.0,,138.0,136.0,125.0,78.0,187.0,137.0,192.0,225.0,13.0,,196.0,Third Pair,53,947.76666666667,1,5,6,2.5,47.27,49.23,27,1988-04-14,CAN,CAN,76,222,2006,3,68,8473468.0,"[None, 44, 44, 50, 32]","[None, 3, 6, 5, 27]","[None, None, None, None, None]","[None, 87, 47, 37, 21]","[None, 'OTT', 'OTT', 'OTT', 'EDM']"
2015-2016,Erik Gudbranson,FLA,D,189.0,158.0,,125.0,157.0,132.0,93.0,106.0,211.0,203.0,61.0,18.0,,170.0,Second Pair,64,1287.2,2,7,9,2.96,50.70,45.26,23,1992-01-07,CAN,CAN,77,222,2010,1,3,8475790.0,"[27, 13, 51, 23, 23]","[43, 1, 72, 13, 39]","[None, None, 3, 37, None]","[None, 3, 2, 35, 41]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2015-2016,Erik Gustafsson,CHI,D,28.0,99.0,106.0,,9.0,141.0,53.0,210.0,18.0,14.0,51.0,173.0,,116.0,Third Pair,41,633.43333333333,0,14,14,2.0,60.00,49.58,23,1992-03-14,SWE,SWE,72,197,2012,4,93,8476979.0,"[45, 85, 50, None, 91]","[15, 40, 52, None, 56]","[None, 2, None, None, 10]","[None, 98, 64, None, None]","['PHI', 'PHI', 'PHI', None, 'CHI']"
2015-2016,Erik Johnson,COL,D,46.0,45.0,73.0,63.0,209.0,220.0,14.0,10.0,77.0,220.0,71.0,78.0,,14.0,First Pair,73,1711.3,11,16,27,8.18,43.48,44.03,27,1988-03-21,USA,USA,76,225,2006,1,1,8473446.0,"[78, 50, 68, 81, 74]","[55, 49, 86, 35, 87]","[94, 24, 77, 23, 35]","[28, 12, 94, 75, 44]","['COL', 'COL', 'COL', 'COL', 'COL']"
2015-2016,Erik Karlsson,OTT,D,4.0,159.0,49.0,142.0,33.0,186.0,5.0,3.0,6.0,62.0,39.0,174.0,,2.0,First Pair,82,2375.9166666667,16,66,82,14.14,49.36,49.69,25,1990-05-31,SWE,SWE,72,190,2008,1,15,8474578.0,"[100, 98, 99, 97, 99]","[16, 79, 7, 13, 53]","[97, 50, 61, 84, 53]","[None, 4, 19, None, 31]","['OTT', 'OTT', 'OTT', 'OTT', 'OTT']"
2015-2016,Evgeny Medvedev,PHI,D,33.0,222.0,96.0,76.0,39.0,137.0,62.0,76.0,32.0,54.0,227.0,165.0,,125.0,Second Pair,45,847.28333333333,4,8,12,3.7,54.72,49.91,33,1982-08-27,RUS,RUS,75,187,-,-,-,8478563.0,"[None, None, None, None, 83]","[None, None, None, None, 7]","[None, None, None, None, 22]","[None, None, None, None, 54]","[None, None, None, None, 'PHI']"
2015-2016,Fedor Tyutin,CBJ,D,207.0,76.0,,83.0,145.0,93.0,225.0,166.0,202.0,169.0,157.0,67.0,,209.0,Third Pair,61,1073.0,1,2,3,1.22,42.42,53.00,32,1983-07-19,RUS,RUS,74,221,2001,2,40,8469492.0,"[47, 74, 38, 16, 10]","[72, 51, 55, 52, 69]","[54, 18, 54, None, None]","[64, 44, 65, 74, 40]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2015-2016,Francois Beauchemin,COL,D,173.0,30.0,82.0,89.0,176.0,180.0,160.0,28.0,205.0,176.0,150.0,142.0,,27.0,First Pair,82,2056.55,8,26,34,5.97,46.53,42.14,35,1980-06-04,CAN,CAN,71,208,1998,3,75,8467400.0,"[21, 56, 77, 59, 14]","[37, 76, 28, 71, 93]","[78, 72, 15, 13, 42]","[94, 29, 26, 34, 67]","['ANA', 'ANA', 'ANA', 'ANA', 'COL']"
2015-2016,Frank Corrado,TOR,D,157.0,194.0,,,141.0,183.0,65.0,121.0,177.0,50.0,220.0,98.0,,194.0,Third Pair,39,563.7,1,5,6,2.62,37.78,49.41,22,1993-03-26,CAN,CAN,72,205,2011,5,150,8476302.0,"[None, None, None, None, 37]","[None, None, None, None, 18]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2015-2016,Fredrik Claesson,OTT,D,230.0,63.0,,175.0,224.0,118.0,181.0,228.0,225.0,186.0,91.0,70.0,,153.0,Second Pair,16,308.63333333333,0,2,2,0.34,35.29,48.38,22,1992-11-24,SWE,SWE,73,196,2011,5,126,8476368.0,"[None, None, None, None, 1]","[None, None, None, None, 73]","[None, None, None, None, None]","[None, None, None, None, 4]","[None, None, None, None, 'OTT']"
2015-2016,Greg Pateryn,MTL,D,81.0,190.0,,176.0,181.0,116.0,156.0,223.0,19.0,223.0,105.0,14.0,,178.0,Third Pair,38,636.45,1,6,7,1.35,40.48,49.55,25,1990-06-20,USA,USA,75,212,2008,5,128,8474688.0,"[None, None, None, None, 60]","[None, None, None, None, 19]","[None, None, None, None, None]","[None, None, None, None, 3]","[None, None, None, None, 'MTL']"
2015-2016,Griffin Reinhart,EDM,D,219.0,224.0,,48.0,91.0,225.0,179.0,219.0,222.0,199.0,215.0,56.0,,211.0,Second Pair,29,523.98333333333,0,1,1,1.26,41.67,49.54,21,1994-01-24,CAN,CAN,76,212,2012,1,4,8476852.0,"[None, None, None, None, 8]","[None, None, None, None, 3]","[None, None, None, None, None]","[None, None, None, None, 68]","[None, None, None, None, 'EDM']"
2015-2016,Hampus Lindholm,ANA,D,85.0,155.0,25.0,97.0,32.0,22.0,127.0,102.0,102.0,128.0,63.0,182.0,,65.0,First Pair,80,1760.15,10,18,28,9.64,51.90,57.22,21,1994-01-20,SWE,SWE,76,215,2012,1,6,8476854.0,"[None, None, 98, 85, 36]","[None, None, 10, 16, 51]","[None, None, 20, 52, 88]","[None, None, None, 5, 80]","[None, None, 'ANA', 'ANA', 'ANA']"
2015-2016,Ian Cole,PIT,D,143.0,32.0,,7.0,81.0,51.0,107.0,172.0,146.0,72.0,202.0,75.0,,136.0,Third Pair,70,1206.7333333333,0,12,12,2.74,44.93,52.24,26,1989-02-21,USA,USA,73,225,2007,1,18,8474013.0,"[26, 8, 40, 60, 30]","[76, 68, 99, 97, 63]","[None, None, None, None, None]","[None, None, None, None, 94]","['STL', 'STL', 'STL', 'STL', 'PIT']"
2015-2016,Jaccob Slavin,CAR,D,128.0,2.0,3.0,2.0,73.0,153.0,109.0,132.0,157.0,125.0,1.0,205.0,,71.0,Second Pair,63,1322.1833333333,2,18,20,4.35,48.68,50.88,21,1994-05-01,USA,USA,75,207,2012,4,120,8476958.0,"[None, None, None, None, 43]","[None, None, None, None, 98]","[None, None, None, None, 92]","[None, None, None, None, 99]","[None, None, None, None, 'CAR']"
2015-2016,Jack Johnson,CBJ,D,175.0,146.0,87.0,128.0,129.0,189.0,137.0,100.0,188.0,202.0,97.0,100.0,,60.0,First Pair,60,1450.5166666667,6,8,14,5.1,43.84,50.50,28,1987-01-13,USA,USA,73,227,2005,1,3,8471677.0,"[55, 42, 29, 45, 25]","[45, 68, 57, 35, 34]","[26, 35, 41, 86, 7]","[17, 88, 33, 36, 34]","['LAK', 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2015-2016,Jacob Trouba,WPG,D,58.0,125.0,67.0,143.0,56.0,73.0,51.0,46.0,92.0,114.0,65.0,86.0,,49.0,First Pair,81,1787.3833333333,6,15,21,6.83,54.46,53.97,21,1994-02-26,USA,USA,75,203,2012,1,9,8476885.0,"[None, None, 85, 70, 71]","[None, None, 2, 16, 78]","[None, None, 17, 53, 41]","[None, None, 29, 23, 26]","[None, None, 'WPG', 'WPG', 'WPG']"
2015-2016,Jake Gardiner,TOR,D,94.0,201.0,89.0,,153.0,145.0,113.0,47.0,112.0,148.0,99.0,124.0,,90.0,Second Pair,79,1629.05,7,24,31,7.39,44.21,51.70,25,1990-07-04,USA,USA,74,203,2008,1,17,8474581.0,"[88, 32, 36, 41, 67]","[2, 12, 10, 31, 8]","[18, 41, 69, 5, 35]","[55, None, None, None, None]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2015-2016,Jake McCabe,BUF,D,198.0,62.0,,74.0,205.0,65.0,210.0,123.0,171.0,183.0,38.0,88.0,,174.0,Second Pair,77,1472.05,4,10,14,2.68,47.62,47.49,21,1993-10-12,USA,USA,73,204,2012,2,44,8476931.0,"[None, None, None, None, 18]","[None, None, None, None, 73]","[None, None, None, None, None]","[None, None, None, None, 56]","[None, None, None, None, 'BUF']"
2015-2016,Jake Muzzin,LAK,D,16.0,160.0,39.0,73.0,61.0,20.0,6.0,29.0,27.0,49.0,159.0,40.0,,24.0,First Pair,82,1891.0,8,32,40,8.88,49.48,55.60,26,1989-02-21,CAN,CAN,75,227,2007,5,141,8474162.0,"[None, 92, 94, 92, 90]","[None, 79, 55, 39, 25]","[None, 82, 43, 50, 75]","[None, None, None, 57, 56]","[None, 'LAK', 'LAK', 'LAK', 'LAK']"
2015-2016,Jakub Kindl,DET,D,87.0,192.0,76.0,,53.0,26.0,49.0,91.0,174.0,16.0,212.0,138.0,,154.0,Third Pair,44,677.15,2,6,8,2.69,61.36,54.03,28,1987-02-10,CZE,CZE,75,199,2005,1,19,8471693.0,"[81, 78, 66, 64, 54]","[66, 34, 22, 25, 13]","[None, 32, 14, 91, 14]","[None, None, None, None, None]","['DET', 'DET', 'DET', 'DET', 'FLA']"
2015-2016,Jakub Kindl,FLA,D,87.0,192.0,76.0,,53.0,26.0,49.0,91.0,174.0,16.0,212.0,138.0,,154.0,Third Pair,44,677.15,2,6,8,2.69,61.36,54.03,28,1987-02-10,CZE,CZE,75,199,2005,1,19,8471693.0,"[81, 78, 66, 64, 54]","[66, 34, 22, 25, 13]","[None, 32, 14, 91, 14]","[None, None, None, None, None]","['DET', 'DET', 'DET', 'DET', 'FLA']"
2015-2016,Jakub Nakladal,CGY,D,165.0,107.0,92.0,,199.0,41.0,33.0,40.0,227.0,80.0,25.0,61.0,,152.0,Third Pair,27,383.13333333333,2,3,5,1.71,52.38,50.12,27,1987-12-30,CZE,CZE,74,212,-,-,-,8478562.0,"[None, None, None, None, 33]","[None, None, None, None, 52]","[None, None, None, None, 26]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2015-2016,Jamie McBain,LAK,D,179.0,80.0,13.0,,103.0,69.0,204.0,96.0,192.0,10.0,81.0,171.0,,172.0,Fringe,44,538.4,2,7,9,1.45,51.72,55.93,27,1988-02-25,USA,USA,73,195,2006,2,63,8473571.0,"[78, 84, 11, 71, 17]","[24, 36, 39, 69, 62]","[70, 11, 13, 27, 97]","[None, 3, 7, None, None]","['CAR', 'CAR', 'BUF', 'LAK', 'LAK']"
2015-2016,Jared Cowen,OTT,D,194.0,220.0,,167.0,154.0,195.0,195.0,191.0,172.0,201.0,104.0,17.0,,187.0,Third Pair,37,628.23333333333,0,4,4,0.99,51.28,43.22,24,1991-01-25,CAN,CAN,77,238,2009,1,9,8475174.0,"[28, None, 61, 16, 20]","[17, None, 12, 8, 5]","[None, None, None, None, None]","[37, None, 27, 32, 2]","['OTT', None, 'OTT', 'OTT', 'OTT']"
2015-2016,Jared Spurgeon,MIN,D,79.0,7.0,23.0,31.0,54.0,25.0,102.0,37.0,130.0,38.0,20.0,196.0,,43.0,First Pair,77,1746.25,11,18,29,6.59,52.38,54.66,25,1989-11-29,CAN,CAN,69,166,2008,6,156,8474716.0,"[24, 25, 86, 84, 49]","[68, 90, 96, 96, 97]","[27, 80, 65, 43, 86]","[80, 60, 74, 91, 70]","['MIN', 'MIN', 'MIN', 'MIN', 'MIN']"
2015-2016,Jason Demers,DAL,D,26.0,92.0,94.0,112.0,23.0,56.0,72.0,101.0,16.0,174.0,204.0,108.0,,84.0,Second Pair,62,1293.8166666667,7,16,23,5.78,52.94,55.09,27,1988-06-09,CAN,CAN,73,195,2008,7,186,8474218.0,"[50, 27, 93, 66, 90]","[26, 31, 43, 55, 58]","[40, 3, 56, 9, 25]","[None, 94, 98, 91, 14]","['SJS', 'SJS', 'SJS', 'SJS', 'DAL']"
2015-2016,Jason Garrison,TBL,D,98.0,73.0,,80.0,113.0,39.0,73.0,77.0,128.0,154.0,120.0,159.0,,92.0,Second Pair,72,1329.3833333333,5,6,11,3.74,48.72,49.42,30,1984-11-13,CAN,CAN,73,218,-,-,-,8474520.0,"[43, 91, 72, 78, 40]","[85, 74, 53, 86, 55]","[43, 55, 75, 48, None]","[44, 36, 86, 22, 65]","['FLA', 'VAN', 'VAN', 'TBL', 'TBL']"
2015-2016,Jay Bouwmeester,STL,D,120.0,106.0,,88.0,60.0,100.0,99.0,154.0,131.0,85.0,102.0,194.0,,98.0,First Pair,72,1664.2166666667,3,16,19,4.93,51.19,48.99,31,1983-09-27,CAN,CAN,76,206,2002,1,3,8470151.0,"[36, 80, 89, 26, 52]","[8, 28, 68, 81, 40]","[44, 90, 39, 55, None]","[49, 11, 81, 45, 46]","['CGY', 'STL', 'STL', 'STL', 'STL']"
2015-2016,Jeff Petry,MTL,D,64.0,206.0,74.0,156.0,195.0,144.0,34.0,33.0,66.0,180.0,131.0,80.0,,73.0,Second Pair,51,1089.1666666667,5,11,16,5.51,43.64,53.94,27,1987-12-09,USA,USA,75,209,2006,2,45,8473507.0,"[85, 58, 43, 58, 80]","[4, 13, 1, 10, 17]","[85, None, 8, 25, 47]","[17, 80, 6, 25, 19]","['EDM', 'EDM', 'EDM', 'EDM', 'MTL']"
2015-2016,Joe Morrow,BOS,D,111.0,83.0,1.0,,51.0,212.0,80.0,133.0,165.0,127.0,36.0,151.0,,149.0,Third Pair,33,524.96666666667,1,6,7,1.38,45.45,51.35,22,1992-12-09,CAN,CAN,72,196,2011,1,23,8476476.0,"[None, None, None, None, 50]","[None, None, None, None, 61]","[None, None, None, None, 98]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2015-2016,Joel Edmundson,STL,D,76.0,82.0,,27.0,156.0,49.0,10.0,153.0,63.0,89.0,208.0,8.0,,189.0,Third Pair,67,1000.2666666667,1,8,9,3.69,46.43,52.39,22,1993-06-28,CAN,CAN,77,221,2011,2,46,8476441.0,"[None, None, None, None, 67]","[None, None, None, None, 62]","[None, None, None, None, None]","[None, None, None, None, 81]","[None, None, None, None, 'STL']"
2015-2016,John Carlson,WSH,D,7.0,79.0,5.0,139.0,40.0,109.0,22.0,18.0,8.0,156.0,49.0,176.0,,8.0,First Pair,56,1327.2833333333,8,31,39,7.31,58.57,51.00,25,1990-01-10,USA,USA,75,215,2008,1,27,8474590.0,"[72, 87, 28, 99, 97]","[24, 50, 84, 42, 67]","[26, 64, 98, 99, 65]","[4, 16, 28, 19, 33]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2015-2016,John Klingberg,DAL,D,2.0,213.0,41.0,,2.0,177.0,42.0,30.0,2.0,152.0,60.0,197.0,,22.0,First Pair,76,1723.85,10,48,58,11.49,57.50,54.28,23,1992-08-14,SWE,SWE,75,190,2010,5,131,8475906.0,"[None, None, None, 98, 99]","[None, None, None, 19, 6]","[None, None, None, 72, 64]","[None, None, None, None, None]","[None, None, None, 'DAL', 'DAL']"
2015-2016,John Moore,NJD,D,164.0,182.0,100.0,16.0,178.0,157.0,83.0,140.0,143.0,24.0,110.0,104.0,,132.0,Second Pair,73,1448.1833333333,4,15,19,4.93,41.98,44.75,24,1990-11-19,USA,USA,75,207,2009,1,21,8475186.0,"[12, 89, 69, 48, 24]","[27, 88, 15, 30, 20]","[None, None, 28, 21, 12]","[2, None, None, None, 88]","['CBJ', 'NYR', 'NYR', 'NYR', 'NJD']"
2015-2016,John-Michael Liles,BOS,D,102.0,74.0,83.0,3.0,125.0,52.0,124.0,95.0,107.0,82.0,22.0,149.0,,85.0,Second Pair,81,1644.6,6,15,21,5.43,46.74,51.55,34,1980-11-25,USA,USA,70,185,2000,5,159,8468639.0,"[32, 52, 60, 38, 59]","[33, 22, 94, 77, 52]","[69, 14, 18, 79, 16]","[None, None, None, None, 98]","['TOR', 'TOR', 'TOR', 'CAR', 'CAR']"
