Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2015-2016,Derrick Pouliot,PIT,D,43.0,57.0,110.0,,15.0,23.0,65.0,106.0,77.0,66.0,21.0,188.0,,162.0,Third Pair,22,339.96666666667,0,2,21,1994-01-16,CAN,CAN,72,196,2012,1,8,8,8476884.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8476884.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Deryk Engelland,CGY,D,197.0,74.0,,127.0,215.0,186.0,145.0,126.0,148.0,207.0,136.0,34.0,,155.0,Third Pair,69,1050.9666666667,3,2,33,1982-04-03,CAN,CAN,74,212,2000,6,27,194,8468674.0,https://assets.nhle.com/mugs/nhl/20152016/CGY/8468674.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2015-2016,Dion Phaneuf,OTT,D,54.0,214.0,36.0,55.0,88.0,221.0,45.0,85.0,154.0,23.0,72.0,41.0,,43.0,First Pair,71,1586.6166666667,4,16,30,1985-04-10,CAN,CAN,75,222,2003,1,9,9,8470602.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8470602.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2015-2016,Dion Phaneuf,TOR,D,54.0,214.0,36.0,55.0,88.0,221.0,45.0,85.0,154.0,23.0,72.0,41.0,,43.0,First Pair,71,1586.6166666667,4,16,30,1985-04-10,CAN,CAN,75,222,2003,1,9,9,8470602.0,https://assets.nhle.com/mugs/nhl/20152016/TOR/8470602.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2015-2016,Dmitry Kulikov,FLA,D,175.0,51.0,57.0,83.0,190.0,51.0,150.0,154.0,182.0,119.0,153.0,91.0,,100.0,Second Pair,74,1556.55,1,9,24,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8475179.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Dmitry Orlov,WSH,D,94.0,122.0,,,75.0,82.0,149.0,89.0,94.0,122.0,5.0,86.0,,152.0,Third Pair,82,1314.1666666667,8,10,24,1991-07-23,RUS,RUS,71,214,2009,2,25,55,8475200.0,https://assets.nhle.com/mugs/nhl/20152016/WSH/8475200.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2015-2016,Dougie Hamilton,CGY,D,21.0,176.0,6.0,166.0,47.0,117.0,6.0,15.0,104.0,44.0,140.0,126.0,,33.0,Second Pair,82,1620.9166666667,12,11,22,1993-06-17,CAN,CAN,78,230,2011,1,9,9,8476462.0,https://assets.nhle.com/mugs/nhl/20152016/CGY/8476462.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2015-2016,Drew Doughty,LAK,D,31.0,76.0,10.0,89.0,19.0,12.0,41.0,37.0,110.0,30.0,135.0,114.0,,16.0,First Pair,82,2297.4666666667,14,18,25,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Duncan Keith,CHI,D,25.0,120.0,46.0,78.0,17.0,86.0,57.0,48.0,137.0,25.0,76.0,229.0,,18.0,First Pair,67,1690.7666666667,9,15,32,1983-07-16,CAN,CAN,73,192,2002,2,24,54,8470281.0,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2015-2016,Dustin Byfuglien,WPG,D,8.0,181.0,8.0,47.0,33.0,126.0,3.0,2.0,82.0,21.0,218.0,32.0,,8.0,First Pair,81,2041.0,19,20,30,1985-03-27,USA,USA,77,260,2003,8,16,245,8470834.0,https://assets.nhle.com/mugs/nhl/20152016/WPG/8470834.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2015-2016,Dylan DeMelo,SJS,D,189.0,31.0,,,59.0,6.0,120.0,100.0,42.0,223.0,35.0,122.0,,225.0,Third Pair,45,612.81666666667,2,1,22,1993-05-01,CAN,CAN,72,195,2011,6,28,179,8476331.0,https://assets.nhle.com/mugs/nhl/20152016/SJS/8476331.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2015-2016,Dylan McIlrath,NYR,D,161.0,136.0,,,110.0,140.0,156.0,122.0,49.0,213.0,230.0,3.0,,222.0,Third Pair,34,480.21666666667,2,1,23,1992-04-20,CAN,CAN,77,232,2010,1,10,10,8475795.0,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475795.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2015-2016,Eric Gelinas,COL,D,97.0,78.0,90.0,,209.0,22.0,15.0,61.0,5.0,28.0,204.0,57.0,,133.0,Third Pair,40,553.38333333333,1,3,24,1991-05-08,CAN,CAN,76,215,2009,2,24,54,8475199.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8475199.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Eric Gelinas,NJD,D,97.0,78.0,90.0,,209.0,22.0,15.0,61.0,5.0,28.0,204.0,57.0,,133.0,Third Pair,40,553.38333333333,1,3,24,1991-05-08,CAN,CAN,76,215,2009,2,24,54,8475199.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8475199.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,Eric Gryba,EDM,D,117.0,182.0,,91.0,147.0,141.0,151.0,204.0,200.0,159.0,223.0,17.0,,197.0,Third Pair,53,947.76666666667,1,2,27,1988-04-14,CAN,CAN,76,222,2006,3,5,68,8473468.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8473468.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Erik Gudbranson,FLA,D,174.0,167.0,116.0,43.0,185.0,121.0,113.0,143.0,203.0,210.0,73.0,26.0,,169.0,Second Pair,64,1287.2,2,3,23,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8475790.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Erik Gustafsson,CHI,D,57.0,146.0,104.0,,66.0,172.0,97.0,153.0,17.0,53.0,74.0,197.0,,114.0,Third Pair,41,633.43333333333,0,7,23,1992-03-14,SWE,SWE,72,197,2012,4,2,93,8476979.0,https://assets.nhle.com/mugs/nhl/20152016/CHI/8476979.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2015-2016,Erik Johnson,COL,D,67.0,157.0,58.0,37.0,200.0,224.0,29.0,18.0,222.0,72.0,90.0,90.0,,12.0,First Pair,73,1711.3,11,9,27,1988-03-21,USA,USA,76,225,2006,1,1,1,8473446.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8473446.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Erik Karlsson,OTT,D,5.0,161.0,30.0,139.0,35.0,154.0,5.0,9.0,69.0,1.0,56.0,173.0,,2.0,First Pair,82,2375.9166666667,16,35,25,1990-05-31,SWE,SWE,72,190,2008,1,15,15,8474578.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2015-2016,Evgeny Medvedev,PHI,D,46.0,220.0,82.0,,64.0,163.0,56.0,63.0,67.0,58.0,220.0,160.0,,140.0,Second Pair,45,847.28333333333,4,4,33,1982-08-27,RUS,RUS,75,187,-,-,-,-,8478563.0,https://assets.nhle.com/mugs/nhl/20152016/PHI/8478563.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2015-2016,Fedor Tyutin,CBJ,D,209.0,66.0,117.0,56.0,130.0,62.0,223.0,198.0,177.0,201.0,174.0,61.0,,192.0,Third Pair,61,1073.0,1,2,32,1983-07-19,RUS,RUS,74,221,2001,2,10,40,8469492.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8469492.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Francois Beauchemin,COL,D,183.0,102.0,59.0,52.0,170.0,191.0,119.0,69.0,167.0,179.0,144.0,138.0,,34.0,First Pair,82,2056.55,8,6,35,1980-06-04,CAN,CAN,71,208,1998,3,17,75,8467400.0,https://assets.nhle.com/mugs/nhl/20152016/COL/8467400.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2015-2016,Frank Corrado,TOR,D,138.0,73.0,,,140.0,61.0,69.0,115.0,54.0,134.0,224.0,85.0,,200.0,Third Pair,39,563.7,1,2,22,1993-03-26,CAN,CAN,72,205,2011,5,29,150,8476302.0,https://assets.nhle.com/mugs/nhl/20152016/TOR/8476302.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2015-2016,Greg Pateryn,MTL,D,121.0,125.0,,,196.0,83.0,183.0,192.0,226.0,63.0,143.0,15.0,,183.0,Third Pair,38,636.45,1,5,25,1990-06-20,USA,USA,75,212,2008,5,7,128,8474688.0,https://assets.nhle.com/mugs/nhl/20152016/MTL/8474688.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2015-2016,Griffin Reinhart,EDM,D,199.0,211.0,,,81.0,217.0,204.0,221.0,213.0,227.0,219.0,36.0,,215.0,Second Pair,29,523.98333333333,0,0,21,1994-01-24,CAN,CAN,76,212,2012,1,4,4,8476852.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8476852.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Hampus Lindholm,ANA,D,56.0,119.0,19.0,131.0,25.0,37.0,85.0,40.0,128.0,52.0,81.0,183.0,,66.0,First Pair,80,1760.15,10,8,21,1994-01-20,SWE,SWE,76,215,2012,1,6,6,8476854.0,https://assets.nhle.com/mugs/nhl/20152016/ANA/8476854.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2015-2016,Ian Cole,PIT,D,98.0,19.0,,143.0,49.0,52.0,125.0,141.0,71.0,166.0,191.0,84.0,,135.0,Third Pair,70,1206.7333333333,0,4,26,1989-02-21,USA,USA,73,225,2007,1,18,18,8474013.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8474013.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Jaccob Slavin,CAR,D,110.0,64.0,,105.0,51.0,173.0,146.0,156.0,149.0,89.0,7.0,204.0,,77.0,Second Pair,63,1322.1833333333,2,7,21,1994-05-01,USA,USA,75,207,2012,4,29,120,8476958.0,https://assets.nhle.com/mugs/nhl/20152016/CAR/8476958.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2015-2016,Jack Johnson,CBJ,D,155.0,164.0,64.0,74.0,112.0,166.0,118.0,76.0,206.0,163.0,89.0,93.0,,58.0,First Pair,60,1450.5166666667,6,3,28,1987-01-13,USA,USA,73,227,2005,1,3,3,8471677.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8471677.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Jacob Trouba,WPG,D,38.0,65.0,48.0,71.0,26.0,87.0,68.0,51.0,126.0,69.0,85.0,97.0,,45.0,First Pair,81,1787.3833333333,6,9,21,1994-02-26,USA,USA,75,203,2012,1,9,9,8476885.0,https://assets.nhle.com/mugs/nhl/20152016/WPG/8476885.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2015-2016,Jake Gardiner,TOR,D,88.0,194.0,52.0,,70.0,145.0,95.0,73.0,161.0,79.0,84.0,124.0,,91.0,Second Pair,79,1629.05,7,11,25,1990-07-04,USA,USA,74,203,2008,1,17,17,8474581.0,https://assets.nhle.com/mugs/nhl/20152016/TOR/8474581.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2015-2016,Jake McCabe,BUF,D,216.0,121.0,,110.0,207.0,104.0,214.0,168.0,201.0,152.0,67.0,95.0,,180.0,Second Pair,77,1472.05,4,7,21,1993-10-12,USA,USA,73,204,2012,2,14,44,8476931.0,https://assets.nhle.com/mugs/nhl/20152016/BUF/8476931.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2015-2016,Jake Muzzin,LAK,D,7.0,42.0,13.0,121.0,8.0,9.0,14.0,39.0,58.0,32.0,148.0,44.0,,26.0,First Pair,82,1891.0,8,15,26,1989-02-21,CAN,CAN,75,227,2007,5,20,141,8474162.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8474162.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Jakub Kindl,DET,D,70.0,106.0,92.0,,53.0,11.0,33.0,44.0,7.0,117.0,205.0,130.0,,145.0,Third Pair,44,677.15,2,2,28,1987-02-10,CZE,CZE,75,199,2005,1,19,19,8471693.0,https://assets.nhle.com/mugs/nhl/20152016/DET/8471693.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2015-2016,Jakub Kindl,FLA,D,70.0,106.0,92.0,,53.0,11.0,33.0,44.0,7.0,117.0,205.0,130.0,,145.0,Third Pair,44,677.15,2,2,28,1987-02-10,CZE,CZE,75,199,2005,1,19,19,8471693.0,https://assets.nhle.com/mugs/nhl/20152016/FLA/8471693.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2015-2016,Jakub Nakladal,CGY,D,123.0,83.0,,,179.0,41.0,19.0,45.0,93.0,199.0,8.0,56.0,,161.0,Third Pair,27,383.13333333333,2,1,27,1987-12-30,CZE,CZE,74,212,-,-,-,-,8478562.0,https://assets.nhle.com/mugs/nhl/20152016/CGY/8478562.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2015-2016,Jamie McBain,LAK,D,154.0,48.0,122.0,170.0,36.0,71.0,138.0,54.0,3.0,97.0,80.0,165.0,,163.0,Fringe,44,538.4,2,3,27,1988-02-25,USA,USA,73,195,2006,2,33,63,8473571.0,https://assets.nhle.com/mugs/nhl/20152016/LAK/8473571.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2015-2016,Jared Cowen,OTT,D,206.0,184.0,,75.0,189.0,183.0,211.0,195.0,204.0,197.0,163.0,8.0,,182.0,Third Pair,37,628.23333333333,0,2,24,1991-01-25,CAN,CAN,77,238,2009,1,9,9,8475174.0,https://assets.nhle.com/mugs/nhl/20152016/OTT/8475174.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2015-2016,Jared Spurgeon,MIN,D,71.0,10.0,28.0,11.0,57.0,18.0,92.0,33.0,47.0,88.0,19.0,195.0,,42.0,First Pair,77,1746.25,11,8,25,1989-11-29,CAN,CAN,69,166,2008,6,5,156,8474716.0,https://assets.nhle.com/mugs/nhl/20152016/MIN/8474716.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2015-2016,Jason Demers,DAL,D,18.0,90.0,70.0,54.0,4.0,59.0,100.0,66.0,171.0,60.0,194.0,105.0,,86.0,Second Pair,62,1293.8166666667,7,10,27,1988-06-09,CAN,CAN,73,195,2008,7,5,186,8474218.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8474218.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,Jason Garrison,TBL,D,89.0,55.0,94.0,42.0,107.0,53.0,66.0,96.0,150.0,109.0,120.0,154.0,,78.0,Second Pair,72,1329.3833333333,5,3,30,1984-11-13,CAN,CAN,73,218,-,-,-,-,8474520.0,https://assets.nhle.com/mugs/nhl/20152016/TBL/8474520.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2015-2016,Jay Bouwmeester,STL,D,95.0,149.0,96.0,63.0,61.0,127.0,136.0,151.0,87.0,139.0,88.0,190.0,,93.0,First Pair,72,1664.2166666667,3,7,31,1983-09-27,CAN,CAN,76,206,2002,1,3,3,8470151.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8470151.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2015-2016,Jeff Petry,MTL,D,53.0,155.0,55.0,77.0,115.0,114.0,67.0,62.0,190.0,70.0,128.0,76.0,,73.0,Second Pair,51,1089.1666666667,5,5,27,1987-12-09,USA,USA,75,209,2006,2,15,45,8473507.0,https://assets.nhle.com/mugs/nhl/20152016/MTL/8473507.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2015-2016,Joe Morrow,BOS,D,125.0,142.0,,,94.0,168.0,82.0,169.0,151.0,101.0,60.0,155.0,,157.0,Third Pair,33,524.96666666667,1,3,22,1992-12-09,CAN,CAN,72,196,2011,1,23,23,8476476.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8476476.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,Joel Edmundson,STL,D,33.0,135.0,,108.0,86.0,89.0,48.0,161.0,121.0,133.0,211.0,12.0,,198.0,Third Pair,67,1000.2666666667,1,4,22,1993-06-28,CAN,CAN,77,221,2011,2,16,46,8476441.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8476441.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2015-2016,John Carlson,WSH,D,11.0,103.0,3.0,92.0,43.0,157.0,27.0,26.0,153.0,7.0,33.0,186.0,,7.0,First Pair,56,1327.2833333333,8,17,25,1990-01-10,USA,USA,75,215,2008,1,27,27,8474590.0,https://assets.nhle.com/mugs/nhl/20152016/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2015-2016,John Klingberg,DAL,D,2.0,212.0,74.0,,1.0,179.0,60.0,22.0,181.0,6.0,53.0,198.0,,30.0,First Pair,76,1723.85,10,21,23,1992-08-14,SWE,SWE,75,190,2010,5,11,131,8475906.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8475906.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,John Moore,NJD,D,135.0,185.0,65.0,145.0,158.0,158.0,64.0,90.0,18.0,129.0,101.0,107.0,,139.0,Second Pair,73,1448.1833333333,4,7,24,1990-11-19,USA,USA,75,207,2009,1,21,21,8475186.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8475186.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,John-Michael Liles,BOS,D,80.0,39.0,43.0,142.0,52.0,46.0,98.0,104.0,74.0,92.0,22.0,136.0,,82.0,Second Pair,81,1644.6,6,8,34,1980-11-25,USA,USA,70,185,2000,5,29,159,8468639.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8468639.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,John-Michael Liles,CAR,D,80.0,39.0,43.0,142.0,52.0,46.0,98.0,104.0,74.0,92.0,22.0,136.0,,82.0,Second Pair,81,1644.6,6,8,34,1980-11-25,USA,USA,70,185,2000,5,29,159,8468639.0,https://assets.nhle.com/mugs/nhl/20152016/CAR/8468639.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2015-2016,Johnny Boychuk,NYI,D,6.0,77.0,115.0,12.0,13.0,161.0,10.0,34.0,142.0,40.0,52.0,52.0,,23.0,Second Pair,70,1495.6833333333,9,8,31,1984-01-19,CAN,CAN,74,227,2002,2,31,61,8470187.0,https://assets.nhle.com/mugs/nhl/20152016/NYI/8470187.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2015-2016,Johnny Oduya,DAL,D,131.0,47.0,,51.0,83.0,84.0,201.0,190.0,102.0,145.0,39.0,170.0,,126.0,Second Pair,82,1670.95,4,9,33,1981-10-01,SWE,SWE,72,191,2001,7,25,221,8469665.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8469665.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,Jon Merrill,NJD,D,225.0,52.0,106.0,164.0,220.0,28.0,220.0,199.0,34.0,178.0,147.0,153.0,,211.0,Third Pair,47,794.13333333333,1,3,23,1992-02-03,USA,USA,75,204,2010,2,8,38,8475750.0,https://assets.nhle.com/mugs/nhl/20152016/NJD/8475750.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2015-2016,Jonas Brodin,MIN,D,224.0,15.0,105.0,66.0,218.0,20.0,199.0,189.0,194.0,212.0,50.0,222.0,,136.0,Second Pair,68,1388.5166666667,2,3,22,1993-07-12,SWE,SWE,74,196,2011,1,10,10,8476463.0,https://assets.nhle.com/mugs/nhl/20152016/MIN/8476463.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2015-2016,Jonathan Ericsson,DET,D,137.0,206.0,,90.0,168.0,80.0,170.0,180.0,92.0,131.0,166.0,73.0,,206.0,Second Pair,71,1315.95,3,6,31,1984-03-02,SWE,SWE,76,218,2002,9,31,291,8470318.0,https://assets.nhle.com/mugs/nhl/20152016/DET/8470318.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2015-2016,Jordie Benn,DAL,D,55.0,104.0,,39.0,23.0,135.0,157.0,148.0,56.0,93.0,124.0,82.0,,142.0,Third Pair,64,1001.7833333333,3,6,28,1987-07-26,CAN,CAN,74,201,-,-,-,-,8474818.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8474818.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,Josh Gorges,BUF,D,229.0,61.0,,18.0,229.0,192.0,226.0,223.0,229.0,219.0,164.0,80.0,,104.0,Second Pair,77,1575.8166666667,2,2,31,1984-08-14,CAN,CAN,73,204,-,-,-,-,8470324.0,https://assets.nhle.com/mugs/nhl/20152016/BUF/8470324.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2015-2016,Josh Manson,ANA,D,114.0,137.0,,151.0,31.0,24.0,161.0,135.0,159.0,209.0,217.0,51.0,,202.0,Second Pair,71,1333.55,5,3,23,1991-10-07,USA,CAN,75,218,2011,6,9,160,8476312.0,https://assets.nhle.com/mugs/nhl/20152016/ANA/8476312.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2015-2016,Justin Braun,SJS,D,58.0,7.0,123.0,60.0,56.0,14.0,114.0,147.0,175.0,96.0,108.0,139.0,,76.0,Second Pair,80,1644.75,4,11,28,1987-02-10,USA,USA,74,205,2007,7,20,201,8474027.0,https://assets.nhle.com/mugs/nhl/20152016/SJS/8474027.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2015-2016,Justin Falk,CBJ,D,153.0,154.0,,,123.0,209.0,208.0,227.0,63.0,110.0,100.0,28.0,,213.0,Third Pair,24,341.41666666667,0,4,26,1988-10-11,CAN,CAN,77,223,2007,4,19,110,8473992.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8473992.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Justin Faulk,CAR,D,13.0,196.0,21.0,84.0,9.0,198.0,9.0,8.0,119.0,29.0,77.0,104.0,,15.0,First Pair,64,1538.85,16,10,23,1992-03-20,USA,USA,72,214,2010,2,7,37,8475753.0,https://assets.nhle.com/mugs/nhl/20152016/CAR/8475753.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2015-2016,Justin Schultz,EDM,D,118.0,204.0,45.0,168.0,103.0,189.0,110.0,60.0,89.0,64.0,31.0,217.0,,81.0,Second Pair,63,1160.7,4,6,25,1990-07-06,CAN,CAN,74,190,2008,2,13,43,8474602.0,https://assets.nhle.com/mugs/nhl/20152016/EDM/8474602.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2015-2016,Justin Schultz,PIT,D,118.0,204.0,45.0,168.0,103.0,189.0,110.0,60.0,89.0,64.0,31.0,217.0,,81.0,Second Pair,63,1160.7,4,6,25,1990-07-06,CAN,CAN,74,190,2008,2,13,43,8474602.0,https://assets.nhle.com/mugs/nhl/20152016/PIT/8474602.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2015-2016,Jyrki Jokipakka,CGY,D,102.0,177.0,,147.0,68.0,169.0,194.0,201.0,76.0,87.0,92.0,120.0,,193.0,Third Pair,58,902.41666666667,2,6,24,1991-08-20,FIN,FIN,75,215,2011,7,14,195,8476279.0,https://assets.nhle.com/mugs/nhl/20152016/CGY/8476279.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2015-2016,Jyrki Jokipakka,DAL,D,102.0,177.0,,147.0,68.0,169.0,194.0,201.0,76.0,87.0,92.0,120.0,,193.0,Third Pair,58,902.41666666667,2,6,24,1991-08-20,FIN,FIN,75,215,2011,7,14,195,8476279.0,https://assets.nhle.com/mugs/nhl/20152016/DAL/8476279.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2015-2016,Karl Alzner,WSH,D,168.0,13.0,,9.0,120.0,63.0,198.0,164.0,195.0,154.0,86.0,102.0,,85.0,Second Pair,82,1752.75,4,8,26,1988-09-24,CAN,CAN,75,213,2007,1,5,5,8473991.0,https://assets.nhle.com/mugs/nhl/20152016/WSH/8473991.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2015-2016,Keith Yandle,NYR,D,29.0,221.0,5.0,,90.0,194.0,11.0,57.0,4.0,3.0,103.0,216.0,,24.0,Second Pair,82,1636.8833333333,5,24,28,1986-09-09,USA,USA,73,192,2005,4,14,105,8471735.0,https://assets.nhle.com/mugs/nhl/20152016/NYR/8471735.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2015-2016,Kevan Miller,BOS,D,166.0,20.0,,4.0,164.0,27.0,184.0,149.0,95.0,176.0,93.0,33.0,,137.0,Second Pair,71,1353.1666666667,5,6,27,1987-11-15,USA,USA,74,210,-,-,-,-,8476191.0,https://assets.nhle.com/mugs/nhl/20152016/BOS/8476191.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2015-2016,Kevin Bieksa,ANA,D,39.0,190.0,62.0,82.0,42.0,197.0,75.0,95.0,127.0,108.0,197.0,58.0,,80.0,Second Pair,71,1491.7666666667,4,7,34,1981-06-16,CAN,CAN,73,197,2001,5,20,151,8469598.0,https://assets.nhle.com/mugs/nhl/20152016/ANA/8469598.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2015-2016,Kevin Connauton,ARI,D,66.0,224.0,87.0,,93.0,211.0,25.0,41.0,97.0,104.0,160.0,72.0,,111.0,Third Pair,65,1087.9666666667,5,3,25,1990-02-23,CAN,CAN,74,205,2009,3,22,83,8475246.0,https://assets.nhle.com/mugs/nhl/20152016/ARI/8475246.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2015-2016,Kevin Connauton,CBJ,D,66.0,224.0,87.0,,93.0,211.0,25.0,41.0,97.0,104.0,160.0,72.0,,111.0,Third Pair,65,1087.9666666667,5,3,25,1990-02-23,CAN,CAN,74,205,2009,3,22,83,8475246.0,https://assets.nhle.com/mugs/nhl/20152016/CBJ/8475246.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2015-2016,Kevin Klein,NYR,D,145.0,108.0,,17.0,114.0,178.0,166.0,42.0,202.0,167.0,34.0,70.0,,68.0,Second Pair,69,1406.5333333333,9,4,30,1984-12-13,CAN,CAN,73,206,2003,2,7,37,8470630.0,https://assets.nhle.com/mugs/nhl/20152016/NYR/8470630.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2015-2016,Kevin Shattenkirk,STL,D,23.0,25.0,4.0,125.0,60.0,38.0,13.0,11.0,26.0,9.0,133.0,161.0,,9.0,First Pair,72,1614.4,14,18,26,1989-01-29,USA,USA,72,212,2007,1,14,14,8474031.0,https://assets.nhle.com/mugs/nhl/20152016/STL/8474031.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
