Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Cody Eakin,WPG,F,266.0,271.0,,122.0,228.0,257.0,346.0,260.0,179.0,123.0,103.0,219.0,74.0,284.0,Third Line,49,714.25,5,10,15,6.97,47.62,47.47,28,1991-05-24,CAN,CAN,72,196,2009,3,85,8475236.0
2019-2020,Cody Glass,VGK,F,387.0,124.0,121.0,,317.0,41.0,266.0,302.0,426.0,94.0,157.0,374.0,146.0,334.0,Fourth Line,39,521.05,5,7,12,4.92,40.74,49.4,20,1999-04-01,CAN,CAN,75,206,2017,1,6,8479996.0
2019-2020,Colin Blackwell,NSH,F,106.0,6.0,,,155.0,35.0,263.0,271.0,15.0,333.0,17.0,85.0,,268.0,Fourth Line,27,295.76666666667,3,7,10,2.48,62.96,54.64,26,1993-03-28,USA,USA,69,190,2011,7,193,8476278.0
2019-2020,Colin White,OTT,F,308.0,342.0,213.0,,112.0,345.0,373.0,371.0,268.0,151.0,191.0,306.0,133.0,235.0,Second Line,61,958.11666666667,7,16,23,9.64,46.03,50.69,22,1997-01-30,USA,USA,73,194,2015,1,21,8478400.0
2019-2020,Colton Sceviour,FLA,F,165.0,122.0,,115.0,278.0,288.0,75.0,312.0,86.0,418.0,192.0,112.0,,248.0,Fourth Line,69,912.46666666667,6,10,16,8.85,51.92,48.22,30,1989-04-20,CAN,CAN,72,190,2007,4,112,8474098.0
2019-2020,Colton Sissons,NSH,F,373.0,88.0,,98.0,400.0,58.0,401.0,224.0,348.0,422.0,391.0,130.0,44.0,300.0,Third Line,57,816.86666666667,9,6,15,5.72,47.06,46.55,25,1993-11-05,CAN,CAN,73,200,2012,2,50,8476925.0
2019-2020,Connor Brown,OTT,F,229.0,287.0,177.0,137.0,209.0,323.0,219.0,242.0,187.0,380.0,308.0,384.0,,179.0,First Line,71,1428.15,16,27,43,17.92,46.15,49.08,25,1994-01-14,CAN,CAN,72,181,2012,6,156,8477015.0
2019-2020,Connor Bunnaman,PHI,F,426.0,81.0,,,414.0,2.0,365.0,413.0,422.0,57.0,47.0,84.0,179.0,425.0,Fourth Line,21,194.91666666667,1,1,2,1.13,83.33,50.21,21,1998-04-16,CAN,CAN,73,207,2016,4,109,8479382.0
2019-2020,Connor McDavid,EDM,F,25.0,418.0,2.0,,59.0,417.0,104.0,13.0,20.0,51.0,30.0,395.0,139.0,2.0,First Line,64,1399.4,34,63,97,22.57,51.67,47.99,22,1997-01-13,CAN,CAN,73,193,2015,1,1,8478402.0
2019-2020,Conor Garland,ARI,F,69.0,149.0,93.0,,121.0,162.0,20.0,16.0,355.0,59.0,125.0,345.0,,142.0,Third Line,68,962.4,22,17,39,15.3,56.92,53.02,23,1996-03-11,USA,USA,70,165,2015,5,123,8478856.0
2019-2020,Conor Sheary,BUF,F,190.0,192.0,245.0,,183.0,218.0,134.0,194.0,213.0,70.0,149.0,365.0,,234.0,Fourth Line,63,825.81666666667,10,13,23,9.93,46.97,50.06,27,1992-06-08,USA,USA,69,179,-,-,-,8477839.0
2019-2020,Conor Sheary,PIT,F,190.0,192.0,245.0,,183.0,218.0,134.0,194.0,213.0,70.0,149.0,365.0,,234.0,Fourth Line,63,825.81666666667,10,13,23,9.93,46.97,50.06,27,1992-06-08,USA,USA,69,179,-,-,-,8477839.0
2019-2020,Corey Perry,DAL,F,277.0,241.0,94.0,,230.0,272.0,253.0,315.0,290.0,77.0,375.0,202.0,,229.0,Third Line,57,782.26666666667,5,16,21,11.09,47.73,52.81,34,1985-05-16,CAN,CAN,75,208,2003,1,28,8470621.0
2019-2020,Craig Smith,NSH,F,19.0,162.0,139.0,,37.0,176.0,4.0,18.0,160.0,196.0,236.0,222.0,,134.0,Fourth Line,69,926.3,18,13,31,21.89,67.65,56.83,29,1989-09-05,USA,USA,72,204,2009,4,98,8475225.0
2019-2020,Curtis Lazar,BUF,F,372.0,60.0,,174.0,395.0,59.0,395.0,362.0,259.0,370.0,138.0,53.0,43.0,376.0,Fourth Line,38,449.65,5,5,10,4.88,37.93,47.54,24,1995-02-02,CAN,CAN,72,203,2013,1,17,8477508.0
2019-2020,Dale Weise,MTL,F,359.0,206.0,,,351.0,181.0,382.0,390.0,178.0,280.0,325.0,16.0,,405.0,Fourth Line,23,213.13333333333,1,4,5,1.2,53.33,42.55,31,1988-08-05,CAN,CAN,74,196,2008,4,111,8474668.0
2019-2020,Danton Heinen,BOS,F,296.0,79.0,130.0,,270.0,60.0,278.0,281.0,297.0,127.0,173.0,321.0,,222.0,Third Line,67,969.48333333333,10,16,26,10.92,53.57,48.69,24,1995-07-05,CAN,CAN,73,188,2014,4,116,8478046.0
2019-2020,Danton Heinen,ANA,F,296.0,79.0,130.0,,270.0,60.0,278.0,281.0,297.0,127.0,173.0,321.0,,222.0,Third Line,67,969.48333333333,10,16,26,10.92,53.57,48.69,24,1995-07-05,CAN,CAN,73,188,2014,4,116,8478046.0
2019-2020,Darren Helm,DET,F,340.0,266.0,,171.0,364.0,195.0,213.0,303.0,363.0,357.0,305.0,173.0,,305.0,Third Line,68,933.86666666667,9,7,16,8.76,41.86,47.64,32,1987-01-21,CAN,CAN,72,192,2005,5,132,8471794.0
2019-2020,David Backes,BOS,F,128.0,44.0,,,288.0,12.0,29.0,415.0,29.0,262.0,416.0,52.0,128.0,280.0,Fourth Line,22,206.76666666667,1,5,6,2.6,50.00,56.55,35,1984-05-01,USA,USA,75,215,2003,2,62,8470655.0
2019-2020,David Backes,ANA,F,128.0,44.0,,,288.0,12.0,29.0,415.0,29.0,262.0,416.0,52.0,128.0,280.0,Fourth Line,22,206.76666666667,1,5,6,2.6,50.00,56.55,35,1984-05-01,USA,USA,75,215,2003,2,62,8470655.0
2019-2020,David Gustafsson,WPG,F,431.0,421.0,,,431.0,427.0,431.0,398.0,431.0,86.0,1.0,358.0,,428.0,Fringe,22,135.13333333333,1,0,1,0.32,33.33,21.68,19,2000-04-11,SWE,SWE,74,212,2018,2,60,8481019.0
2019-2020,David Kampf,CHI,F,328.0,177.0,,163.0,294.0,289.0,330.0,348.0,279.0,383.0,140.0,298.0,89.0,360.0,Third Line,70,956.68333333333,8,8,16,11.5,38.00,46.92,24,1995-01-12,CZE,CZE,74,197,-,-,-,8480144.0
2019-2020,David Krejci,BOS,F,301.0,109.0,136.0,,162.0,52.0,405.0,370.0,167.0,37.0,244.0,363.0,111.0,133.0,Second Line,61,1047.6,13,30,43,9.96,62.50,50.1,33,1986-04-28,CZE,CZE,72,192,2004,2,63,8471276.0
2019-2020,David Pastrnak,BOS,F,6.0,326.0,1.0,,91.0,105.0,16.0,6.0,32.0,12.0,52.0,299.0,,3.0,First Line,70,1327.25,48,47,95,25.96,64.21,53.34,23,1996-05-25,CZE,CZE,73,195,2014,1,25,8477956.0
2019-2020,David Perron,STL,F,240.0,152.0,40.0,,277.0,114.0,324.0,188.0,157.0,302.0,406.0,238.0,,73.0,First Line,71,1300.4833333333,25,35,60,15.7,54.88,48.93,31,1988-05-28,CAN,CAN,73,196,2007,1,26,8474102.0
2019-2020,Denis Gurianov,DAL,F,113.0,218.0,15.0,,130.0,211.0,36.0,28.0,372.0,41.0,18.0,183.0,,173.0,Fourth Line,64,831.08333333333,20,9,29,13.46,57.14,52.94,22,1997-06-07,RUS,RUS,75,205,2015,1,12,8478495.0
2019-2020,Denis Malgin,FLA,F,333.0,168.0,238.0,,231.0,240.0,318.0,359.0,346.0,78.0,200.0,227.0,166.0,332.0,Fourth Line,44,527.58333333333,4,8,12,5.77,34.09,46.71,22,1997-01-18,CHE,CHE,69,182,2015,4,102,8478843.0
2019-2020,Denis Malgin,TOR,F,333.0,168.0,238.0,,231.0,240.0,318.0,359.0,346.0,78.0,200.0,227.0,166.0,332.0,Fourth Line,44,527.58333333333,4,8,12,5.77,34.09,46.71,22,1997-01-18,CHE,CHE,69,182,2015,4,102,8478843.0
2019-2020,Derek Grant,ANA,F,256.0,359.0,,78.0,368.0,409.0,187.0,215.0,193.0,417.0,373.0,135.0,45.0,245.0,Third Line,56,779.11666666667,15,10,25,13.69,41.86,39.53,29,1990-04-20,CAN,CAN,75,210,2008,4,119,8474683.0
2019-2020,Derek Grant,PHI,F,256.0,359.0,,78.0,368.0,409.0,187.0,215.0,193.0,417.0,373.0,135.0,45.0,245.0,Third Line,56,779.11666666667,15,10,25,13.69,41.86,39.53,29,1990-04-20,CAN,CAN,75,210,2008,4,119,8474683.0
2019-2020,Derek Ryan,CGY,F,193.0,134.0,197.0,79.0,153.0,94.0,256.0,220.0,124.0,325.0,276.0,409.0,20.0,237.0,Third Line,68,989.23333333333,10,19,29,10.59,58.82,49.03,32,1986-12-29,USA,USA,70,185,-,-,-,8478585.0
2019-2020,Derek Stepan,ARI,F,245.0,193.0,237.0,109.0,251.0,299.0,125.0,333.0,244.0,331.0,184.0,342.0,155.0,149.0,Second Line,70,1234.95,10,18,28,13.45,45.90,48.2,29,1990-06-18,USA,USA,71,196,2008,2,51,8474613.0
2019-2020,Derick Brassard,NYI,F,319.0,394.0,186.0,,293.0,380.0,281.0,310.0,319.0,247.0,360.0,105.0,65.0,209.0,Third Line,66,903.98333333333,10,22,32,10.03,50.00,46.81,31,1987-09-22,CAN,CAN,73,200,2006,1,6,8473544.0
2019-2020,Devin Shore,CBJ,F,312.0,304.0,,,255.0,398.0,363.0,317.0,267.0,190.0,153.0,160.0,,321.0,Fourth Line,45,524.06666666667,5,7,12,4.74,39.13,45.21,25,1994-07-19,CAN,CAN,73,206,2012,2,61,8476913.0
2019-2020,Devin Shore,ANA,F,312.0,304.0,,,255.0,398.0,363.0,317.0,267.0,190.0,153.0,160.0,,321.0,Fourth Line,45,524.06666666667,5,7,12,4.74,39.13,45.21,25,1994-07-19,CAN,CAN,73,206,2012,2,61,8476913.0
2019-2020,Dillon Dube,CGY,F,349.0,379.0,,,314.0,359.0,315.0,327.0,384.0,191.0,20.0,184.0,,355.0,Fourth Line,45,570.61666666667,6,10,16,6.19,51.16,46.28,21,1998-07-20,CAN,CAN,71,185,2016,2,56,8479346.0
2019-2020,Dmytro Timashov,DET,F,352.0,286.0,,,389.0,251.0,307.0,282.0,341.0,429.0,286.0,23.0,,412.0,Fringe,44,375.38333333333,4,5,9,2.22,52.00,43.65,22,1996-10-01,UKR,UKR,70,192,2015,5,125,8478857.0
2019-2020,Dmytro Timashov,TOR,F,352.0,286.0,,,389.0,251.0,307.0,282.0,341.0,429.0,286.0,23.0,,412.0,Fringe,44,375.38333333333,4,5,9,2.22,52.00,43.65,22,1996-10-01,UKR,UKR,70,192,2015,5,125,8478857.0
2019-2020,Dominic Toninato,FLA,F,367.0,111.0,,,350.0,233.0,400.0,368.0,249.0,345.0,335.0,129.0,147.0,400.0,Fourth Line,46,512.53333333333,4,7,11,5.29,56.76,46.05,25,1994-03-09,USA,USA,74,191,2012,5,126,8476952.0
2019-2020,Dominik Kahun,BUF,F,139.0,157.0,232.0,,258.0,196.0,228.0,142.0,53.0,46.0,168.0,429.0,,198.0,Fourth Line,56,743.88333333333,12,19,31,7.17,57.14,49.48,24,1995-07-02,CZE,DEU,71,175,-,-,-,8480946.0
2019-2020,Dominik Kahun,PIT,F,139.0,157.0,232.0,,258.0,196.0,228.0,142.0,53.0,46.0,168.0,429.0,,198.0,Fourth Line,56,743.88333333333,12,19,31,7.17,57.14,49.48,24,1995-07-02,CZE,DEU,71,175,-,-,-,8480946.0
2019-2020,Dominik Kubalik,CHI,F,10.0,424.0,180.0,,30.0,421.0,50.0,1.0,125.0,279.0,287.0,181.0,,100.0,Third Line,68,977.46666666667,30,16,46,18.22,51.04,50.77,24,1995-08-21,CZE,CZE,74,190,2013,7,191,8477330.0
2019-2020,Dominik Simon,PIT,F,206.0,158.0,,,82.0,142.0,210.0,325.0,202.0,66.0,221.0,214.0,,285.0,Third Line,64,922.06666666667,7,15,22,9.66,43.42,50.19,25,1994-08-08,CZE,CZE,71,190,2015,5,137,8478866.0
2019-2020,Drake Batherson,OTT,F,350.0,369.0,43.0,,174.0,397.0,386.0,386.0,358.0,147.0,188.0,65.0,,227.0,Second Line,23,357.95,3,7,10,2.88,31.82,46.99,21,1998-04-27,USA,USA,75,200,2017,4,121,8480208.0
2019-2020,Drake Caggiula,CHI,F,154.0,324.0,,,156.0,403.0,199.0,53.0,280.0,201.0,229.0,56.0,,250.0,Fourth Line,40,472.61666666667,9,6,15,6.33,44.90,48.69,25,1994-06-20,CAN,CAN,70,176,-,-,-,8479465.0
2019-2020,Dryden Hunt,FLA,F,233.0,137.0,,,257.0,92.0,45.0,425.0,115.0,423.0,426.0,61.0,,356.0,Fourth Line,21,220.35,0,4,4,2.28,50.00,53.76,23,1995-11-24,CAN,CAN,72,193,-,-,-,8478211.0
2019-2020,Dustin Brown,LAK,F,152.0,373.0,176.0,,324.0,281.0,74.0,171.0,122.0,343.0,174.0,108.0,,116.0,First Line,66,1214.8333333333,17,18,35,17.79,51.35,46.85,34,1984-11-04,USA,USA,72,205,2003,1,13,8470606.0
2019-2020,Dylan Gambrell,SJS,F,394.0,289.0,,97.0,327.0,329.0,397.0,274.0,417.0,300.0,411.0,213.0,145.0,385.0,Fourth Line,50,597.55,5,6,11,5.26,43.75,45.4,23,1996-08-26,USA,USA,71,185,2016,2,60,8479580.0
2019-2020,Dylan Larkin,DET,F,85.0,386.0,184.0,,127.0,285.0,46.0,201.0,98.0,230.0,117.0,307.0,62.0,33.0,First Line,71,1508.6833333333,19,34,53,20.2,49.50,50.2,23,1996-07-30,USA,USA,73,198,2014,1,15,8477946.0
2019-2020,Dylan Strome,CHI,F,142.0,353.0,201.0,,144.0,411.0,316.0,219.0,33.0,101.0,202.0,403.0,136.0,140.0,Second Line,58,924.51666666667,12,26,38,11.65,57.14,47.43,22,1997-03-07,CAN,CAN,75,200,2015,1,3,8478440.0
2019-2020,Elias Lindholm,CGY,F,181.0,240.0,53.0,148.0,96.0,225.0,273.0,99.0,250.0,122.0,211.0,217.0,76.0,60.0,First Line,70,1380.5,29,25,54,16.9,47.19,50.39,24,1994-12-02,SWE,SWE,73,202,2013,1,5,8477496.0
2019-2020,Elias Pettersson,VAN,F,53.0,132.0,88.0,,86.0,197.0,311.0,39.0,26.0,1.0,2.0,288.0,,37.0,First Line,68,1260.1166666667,27,39,66,17.78,63.27,54.63,20,1998-11-12,SWE,SWE,74,176,2017,1,5,8480012.0
2019-2020,Emil Bemstrom,CBJ,F,314.0,184.0,26.0,,342.0,84.0,153.0,378.0,286.0,100.0,313.0,201.0,,246.0,Fourth Line,56,687.05,10,10,20,7.72,37.21,50.43,20,1999-06-01,SWE,SWE,72,195,2017,4,117,8480205.0
2019-2020,Eric Robinson,CBJ,F,274.0,38.0,,,358.0,7.0,110.0,141.0,347.0,239.0,237.0,90.0,,353.0,Fourth Line,50,547.53333333333,7,5,12,6.62,63.89,53.21,24,1995-06-14,USA,USA,74,205,-,-,-,8480762.0
2019-2020,Eric Staal,MIN,F,118.0,246.0,155.0,,185.0,160.0,190.0,85.0,94.0,132.0,249.0,390.0,104.0,107.0,Second Line,66,1130.8833333333,19,28,47,14.42,49.47,51.79,34,1984-10-29,CAN,CAN,76,195,2003,1,2,8470595.0
2019-2020,Erik Haula,CAR,F,232.0,390.0,57.0,,235.0,338.0,165.0,100.0,359.0,148.0,378.0,275.0,23.0,156.0,Second Line,48,759.86666666667,12,12,24,12.97,54.00,47.23,28,1991-03-23,FIN,FIN,71,191,2009,7,182,8475287.0
2019-2020,Erik Haula,FLA,F,232.0,390.0,57.0,,235.0,338.0,165.0,100.0,359.0,148.0,378.0,275.0,23.0,156.0,Second Line,48,759.86666666667,12,12,24,12.97,54.00,47.23,28,1991-03-23,FIN,FIN,71,191,2009,7,182,8475287.0
2019-2020,Evan Rodrigues,BUF,F,237.0,163.0,,,280.0,147.0,59.0,304.0,299.0,315.0,32.0,323.0,144.0,264.0,Fourth Line,45,507.88333333333,6,4,10,6.53,36.67,48.75,26,1993-07-28,CAN,CAN,71,184,-,-,-,8478542.0
2019-2020,Evan Rodrigues,PIT,F,237.0,163.0,,,280.0,147.0,59.0,304.0,299.0,315.0,32.0,323.0,144.0,264.0,Fourth Line,45,507.88333333333,6,4,10,6.53,36.67,48.75,26,1993-07-28,CAN,CAN,71,184,-,-,-,8478542.0
2019-2020,Evander Kane,SJS,F,64.0,306.0,19.0,27.0,140.0,279.0,13.0,95.0,184.0,192.0,425.0,86.0,90.0,38.0,First Line,64,1250.4666666667,26,21,47,26.8,45.00,48.08,28,1991-08-02,CAN,CAN,74,210,2009,1,4,8475169.0
2019-2020,Evgeni Malkin,PIT,F,14.0,256.0,10.0,,18.0,253.0,130.0,42.0,7.0,5.0,377.0,302.0,126.0,11.0,First Line,55,1073.6666666667,25,49,74,18.98,57.45,58.12,33,1986-07-31,RUS,RUS,75,195,2004,1,2,8471215.0
2019-2020,Evgenii Dadonov,FLA,F,99.0,320.0,112.0,,154.0,294.0,106.0,113.0,97.0,68.0,78.0,397.0,,75.0,Second Line,69,1180.2666666667,25,22,47,20.67,52.13,50.23,30,1989-03-12,RUS,RUS,71,189,2007,3,71,8474149.0
2019-2020,Evgeny Kuznetsov,WSH,F,146.0,429.0,111.0,,220.0,416.0,304.0,150.0,44.0,96.0,309.0,333.0,182.0,70.0,Second Line,63,1124.0333333333,19,33,52,13.47,50.56,45.01,27,1992-05-19,RUS,RUS,74,207,2010,1,26,8475744.0
2019-2020,Filip Chlapik,OTT,F,363.0,28.0,,,343.0,26.0,288.0,234.0,409.0,156.0,424.0,19.0,,408.0,Fringe,31,271.86666666667,3,3,6,2.25,36.36,51.86,22,1997-06-03,CZE,CZE,73,194,2015,2,48,8478488.0
2019-2020,Filip Chytil,NYR,F,210.0,361.0,216.0,,207.0,392.0,113.0,108.0,331.0,258.0,248.0,412.0,181.0,218.0,Third Line,60,890.45,14,9,23,12.19,46.27,48.0,19,1999-09-05,CZE,CZE,74,204,2017,1,21,8480078.0
2019-2020,Filip Forsberg,NSH,F,22.0,262.0,30.0,,38.0,305.0,30.0,68.0,27.0,15.0,142.0,166.0,,41.0,Second Line,63,1093.0833333333,21,27,48,18.83,50.65,52.1,25,1994-08-13,SWE,SWE,73,205,2012,1,11,8476887.0
2019-2020,Filip Zadina,DET,F,265.0,370.0,29.0,,369.0,365.0,135.0,196.0,241.0,61.0,201.0,379.0,,144.0,Third Line,28,424.85,8,7,15,5.52,42.31,46.15,19,1999-11-27,CZE,CZE,72,190,2018,1,6,8480821.0
2019-2020,Frank Vatrano,FLA,F,130.0,102.0,239.0,89.0,300.0,241.0,28.0,111.0,227.0,71.0,209.0,121.0,,147.0,Third Line,69,1036.1666666667,16,18,34,14.83,42.03,46.78,25,1994-03-14,USA,USA,71,197,-,-,-,8478366.0
2019-2020,Frans Nielsen,DET,F,415.0,182.0,242.0,178.0,419.0,224.0,274.0,381.0,418.0,369.0,301.0,242.0,127.0,293.0,Third Line,60,821.0,4,5,9,7.58,28.57,40.29,35,1984-04-24,DNK,DNK,73,186,2002,3,87,8470144.0
2019-2020,Frederik Gauthier,TOR,F,382.0,159.0,,179.0,399.0,153.0,408.0,245.0,349.0,428.0,269.0,98.0,27.0,414.0,Fourth Line,61,572.66666666667,7,5,12,4.04,44.74,43.93,24,1995-04-26,CAN,CAN,77,239,2013,1,21,8477512.0
2019-2020,Gabriel Bourque,WPG,F,425.0,52.0,,,422.0,237.0,415.0,416.0,381.0,321.0,194.0,20.0,,413.0,Fringe,52,447.35,2,4,6,2.91,47.06,40.34,28,1990-09-23,CAN,CAN,70,206,2009,5,132,8475268.0
2019-2020,Gabriel Landeskog,COL,F,98.0,58.0,91.0,,92.0,128.0,123.0,122.0,148.0,52.0,278.0,153.0,51.0,31.0,First Line,54,1081.5833333333,21,23,44,21.75,53.62,56.54,26,1992-11-23,SWE,SWE,73,215,2011,1,2,8476455.0
2019-2020,Gaetan Haas,EDM,F,398.0,18.0,,,391.0,22.0,296.0,356.0,405.0,257.0,3.0,152.0,180.0,401.0,Fourth Line,58,562.48333333333,5,5,10,5.11,44.44,49.64,27,1992-01-31,CHE,CHE,72,181,-,-,-,8481813.0
2019-2020,Garnet Hathaway,WSH,F,221.0,24.0,,1.0,237.0,19.0,197.0,123.0,293.0,233.0,28.0,8.0,,343.0,Fourth Line,66,711.31666666667,9,7,16,10.68,53.85,56.88,27,1991-11-23,USA,USA,75,208,-,-,-,8477903.0
2019-2020,Givani Smith,DET,F,371.0,327.0,252.0,,423.0,164.0,348.0,164.0,353.0,36.0,34.0,26.0,,418.0,Fourth Line,21,203.33333333333,2,1,3,3.04,37.50,46.78,21,1998-02-28,CAN,CAN,74,214,2016,2,46,8479379.0
2019-2020,Greg McKegg,NYR,F,384.0,227.0,,159.0,331.0,328.0,413.0,319.0,383.0,243.0,333.0,133.0,86.0,407.0,Fourth Line,53,506.93333333333,5,4,9,6.26,40.00,43.45,27,1992-06-17,CAN,CAN,72,195,2010,3,62,8475735.0
2019-2020,Gustav Nyquist,CBJ,F,213.0,334.0,182.0,,178.0,206.0,203.0,346.0,95.0,183.0,145.0,366.0,,120.0,First Line,70,1262.2666666667,15,27,42,17.58,50.00,50.25,30,1989-09-01,SWE,SWE,71,180,2008,4,121,8474679.0
2019-2020,Ilya Kovalchuk,WSH,F,247.0,302.0,205.0,,285.0,158.0,180.0,261.0,206.0,180.0,133.0,260.0,,137.0,Second Line,46,780.28333333333,10,16,26,11.16,48.08,54.81,36,1983-04-15,RUS,RUS,75,222,2001,1,1,8469454.0
2019-2020,Ilya Kovalchuk,MTL,F,247.0,302.0,205.0,,285.0,158.0,180.0,261.0,206.0,180.0,133.0,260.0,,137.0,Second Line,46,780.28333333333,10,16,26,11.16,48.08,54.81,36,1983-04-15,RUS,RUS,75,222,2001,1,1,8469454.0
2019-2020,Ilya Kovalchuk,LAK,F,247.0,302.0,205.0,,285.0,158.0,180.0,261.0,206.0,180.0,133.0,260.0,,137.0,Second Line,46,780.28333333333,10,16,26,11.16,48.08,54.81,36,1983-04-15,RUS,RUS,75,222,2001,1,1,8469454.0
2019-2020,Ilya Mikheyev,TOR,F,23.0,223.0,,13.0,60.0,246.0,17.0,154.0,14.0,126.0,233.0,300.0,,136.0,Second Line,39,607.46666666667,8,15,23,9.65,52.94,52.31,24,1994-10-10,RUS,RUS,74,192,-,-,-,8481624.0
2019-2020,Ivan Barbashev,STL,F,287.0,217.0,,73.0,301.0,270.0,414.0,239.0,140.0,363.0,58.0,91.0,134.0,329.0,Fourth Line,69,928.25,11,15,26,10.58,48.21,44.91,23,1995-12-14,RUS,RUS,73,195,2014,2,33,8477964.0
2019-2020,J.C. Beaudin,OTT,F,417.0,200.0,,,189.0,317.0,334.0,431.0,421.0,265.0,281.0,13.0,46.0,424.0,Fringe,22,189.81666666667,0,1,1,1.4,38.46,47.75,22,1997-03-25,CAN,CAN,73,196,2015,3,71,8478833.0
2019-2020,J.T. Compher,COL,F,291.0,51.0,222.0,169.0,319.0,155.0,297.0,223.0,272.0,316.0,56.0,348.0,105.0,175.0,Second Line,67,1122.1833333333,11,20,31,10.76,59.32,50.87,24,1995-04-08,USA,USA,72,190,2013,2,35,8477456.0
2019-2020,J.T. Miller,VAN,F,97.0,194.0,106.0,,53.0,231.0,246.0,86.0,117.0,32.0,310.0,132.0,34.0,65.0,First Line,69,1387.1,27,45,72,18.78,61.46,52.71,26,1993-03-14,USA,USA,73,218,2011,1,15,8476468.0
2019-2020,Jack Eichel,BUF,F,111.0,296.0,54.0,,203.0,228.0,67.0,84.0,162.0,21.0,8.0,346.0,169.0,10.0,First Line,68,1509.85,36,42,78,19.39,54.46,47.97,22,1996-10-28,USA,USA,74,207,2015,1,2,8478403.0
2019-2020,Jack Hughes,NJD,F,293.0,401.0,168.0,,248.0,396.0,176.0,417.0,169.0,20.0,16.0,418.0,183.0,231.0,Second Line,61,967.78333333333,7,14,21,13.38,34.00,46.77,18,2001-05-14,USA,USA,71,175,2019,1,1,8481559.0
2019-2020,Jack Roslovic,WPG,F,270.0,312.0,259.0,,292.0,236.0,287.0,296.0,139.0,128.0,132.0,284.0,,287.0,Third Line,71,1057.8333333333,12,17,29,10.9,50.00,43.67,22,1997-01-29,USA,USA,73,200,2015,1,25,8478458.0
2019-2020,Jacob de la Rose,DET,F,397.0,121.0,,162.0,381.0,154.0,381.0,414.0,302.0,327.0,352.0,46.0,165.0,411.0,Fourth Line,50,536.23333333333,2,7,9,4.13,51.72,48.78,24,1995-05-20,SWE,SWE,75,215,2013,2,34,8477455.0
2019-2020,Jacob de la Rose,STL,F,397.0,121.0,,162.0,381.0,154.0,381.0,414.0,302.0,327.0,352.0,46.0,165.0,411.0,Fourth Line,50,536.23333333333,2,7,9,4.13,51.72,48.78,24,1995-05-20,SWE,SWE,75,215,2013,2,34,8477455.0
2019-2020,Jaden Schwartz,STL,F,150.0,35.0,103.0,,192.0,20.0,145.0,286.0,60.0,120.0,59.0,285.0,,89.0,First Line,71,1289.35,22,35,57,21.54,57.35,51.8,27,1992-06-25,CAN,CAN,70,185,2010,1,14,8475768.0
2019-2020,Jake DeBrusk,BOS,F,121.0,84.0,84.0,,261.0,25.0,43.0,56.0,257.0,16.0,76.0,325.0,,128.0,Second Line,65,1043.3,19,16,35,17.17,53.57,52.47,22,1996-10-17,CAN,CAN,72,197,2015,1,14,8478498.0
2019-2020,Jake Guentzel,PIT,F,5.0,146.0,96.0,,12.0,183.0,66.0,8.0,18.0,6.0,160.0,218.0,,19.0,First Line,39,804.5,20,23,43,14.58,58.73,58.16,24,1994-10-06,USA,USA,71,180,2013,3,77,8477404.0
2019-2020,Jake Virtanen,VAN,F,114.0,301.0,24.0,,252.0,394.0,41.0,128.0,155.0,176.0,261.0,94.0,,176.0,Fourth Line,69,902.88333333333,18,18,36,13.45,47.69,48.02,23,1996-08-17,CAN,CAN,73,226,2014,1,6,8477937.0
2019-2020,Jakob Lilja,CBJ,F,428.0,9.0,,,428.0,50.0,426.0,404.0,343.0,323.0,206.0,303.0,,419.0,Fourth Line,37,366.13333333333,2,3,5,2.54,63.16,43.12,26,1993-07-23,SWE,SWE,73,196,-,-,-,8481650.0
2019-2020,Jakob Silfverberg,ANA,F,129.0,229.0,137.0,158.0,240.0,330.0,71.0,60.0,254.0,242.0,98.0,364.0,,110.0,Second Line,66,1166.7833333333,21,18,39,16.74,48.75,48.01,28,1990-10-13,SWE,SWE,73,207,2009,2,39,8475164.0
2019-2020,Jakub Voracek,PHI,F,102.0,263.0,62.0,,150.0,136.0,259.0,331.0,11.0,116.0,95.0,415.0,,85.0,Second Line,69,1176.0333333333,12,44,56,11.08,59.49,52.07,30,1989-08-15,CZE,CZE,74,216,2007,1,7,8474161.0
2019-2020,Jakub Vrana,WSH,F,16.0,382.0,145.0,,107.0,325.0,22.0,5.0,73.0,163.0,146.0,367.0,,109.0,Third Line,69,1026.8833333333,25,27,52,18.22,53.85,50.91,23,1996-02-28,CZE,CZE,72,190,2014,1,13,8477944.0
2019-2020,James Neal,EDM,F,315.0,273.0,59.0,,245.0,199.0,171.0,345.0,380.0,18.0,152.0,175.0,,158.0,Second Line,55,896.9,19,12,31,13.78,41.07,49.47,31,1987-09-03,CAN,CAN,75,212,2005,2,33,8471707.0
