Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,David Backes,STL,F,124.0,36.0,77.0,34.0,168.0,76.0,161.0,173.0,377.0,103.0,343.0,86.0,65.0,77.0,First Line,48,941.33333333333,6,13,28,1984-05-01,USA,USA,75,215,2003,2,32,62
2012-2013,David Booth,VAN,F,154.0,71.0,231.0,,156.0,19.0,20.0,76.0,335.0,386.0,14.0,136.0,,186.0,Bottom 6,12,153.05,1,0,27,1984-11-24,USA,USA,72,212,2004,2,23,53
2012-2013,David Clarkson,NJD,F,117.0,20.0,104.0,,193.0,4.0,9.0,22.0,277.0,300.0,176.0,132.0,187.0,93.0,Second Line,48,844.45,15,5,28,1984-03-31,CAN,CAN,72,207,-,-,-,-
2012-2013,David Desharnais,MTL,F,202.0,137.0,131.0,,59.0,162.0,396.0,225.0,87.0,118.0,126.0,382.0,72.0,171.0,Second Line,48,790.38333333333,10,9,25,1986-09-14,CAN,CAN,67,180,-,-,-,-
2012-2013,David Jones,COL,F,169.0,373.0,160.0,144.0,138.0,351.0,216.0,166.0,320.0,232.0,196.0,227.0,,193.0,Second Line,33,555.1,3,5,28,1984-08-10,CAN,CAN,75,208,2003,9,27,288
2012-2013,David Krejci,BOS,F,90.0,164.0,123.0,217.0,62.0,156.0,268.0,197.0,236.0,28.0,287.0,307.0,39.0,91.0,First Line,47,869.7,10,16,26,1986-04-28,CZE,CZE,72,192,2004,2,33,63
2012-2013,David Legwand,NSH,F,238.0,212.0,124.0,79.0,123.0,141.0,329.0,185.0,401.0,206.0,241.0,401.0,83.0,142.0,First Line,48,884.43333333333,12,5,32,1980-08-17,USA,USA,74,207,1998,1,2,2
2012-2013,David Moss,PHX,F,40.0,79.0,267.0,143.0,145.0,75.0,78.0,219.0,380.0,114.0,154.0,171.0,174.0,175.0,Second Line,45,699.76666666667,5,11,30,1981-12-28,USA,USA,76,210,2001,7,24,220
2012-2013,David Perron,STL,F,317.0,224.0,169.0,,222.0,164.0,288.0,134.0,279.0,226.0,332.0,317.0,,138.0,First Line,48,864.26666666667,10,6,24,1988-05-28,CAN,CAN,73,196,2007,1,26,26
2012-2013,David Steckel,"ANA, TOR",F,343.0,42.0,,19.0,329.0,100.0,395.0,386.0,403.0,323.0,138.0,98.0,6.0,359.0,Bottom 6,34,315.01666666667,1,4,30,1982-03-15,USA,USA,78,215,2001,1,30,30
2012-2013,David Ullstrom,NYI,F,162.0,326.0,,,203.0,269.0,120.0,180.0,346.0,262.0,330.0,162.0,,327.0,Bottom 6,20,189.96666666667,2,2,23,1989-04-22,SWE,SWE,74,188,2008,4,11,102
2012-2013,Derek Dorsett,CBJ,F,374.0,181.0,,49.0,398.0,158.0,265.0,302.0,400.0,369.0,206.0,66.0,,258.0,Second Line,24,383.75,3,1,25,1986-12-20,CAN,CAN,72,192,2006,7,6,189
2012-2013,Derek MacKenzie,CBJ,F,408.0,74.0,,26.0,429.0,88.0,370.0,349.0,185.0,370.0,13.0,19.0,17.0,365.0,Bottom 6,43,444.56666666667,3,2,31,1981-06-11,CAN,CAN,71,177,1999,5,2,128
2012-2013,Derek Roy,"DAL, VAN",F,179.0,269.0,28.0,132.0,82.0,309.0,227.0,233.0,360.0,70.0,142.0,412.0,94.0,90.0,First Line,42,780.96666666667,7,13,29,1983-05-04,CAN,CAN,69,184,2001,2,2,32
2012-2013,Derek Stepan,NYR,F,47.0,222.0,144.0,131.0,13.0,249.0,246.0,122.0,28.0,63.0,224.0,254.0,109.0,73.0,First Line,48,1004.2833333333,18,18,22,1990-06-18,USA,USA,71,196,2008,2,21,51
2012-2013,Derick Brassard,"CBJ, NYR",F,236.0,244.0,45.0,,298.0,125.0,226.0,176.0,164.0,47.0,100.0,163.0,92.0,141.0,Second Line,47,778.11666666667,12,14,24,1987-09-22,CAN,CAN,73,200,2006,1,6,6
2012-2013,Devin Setoguchi,MIN,F,106.0,172.0,88.0,,131.0,132.0,77.0,38.0,194.0,146.0,102.0,167.0,,119.0,Bottom 6,48,693.05,13,9,25,1987-01-01,CAN,CAN,72,205,2005,1,8,8
2012-2013,Drayson Bowman,CAR,F,138.0,296.0,,,106.0,344.0,76.0,265.0,68.0,296.0,82.0,142.0,,303.0,Bottom 6,37,432.98333333333,3,1,23,1989-03-08,USA,USA,73,195,2007,3,11,72
2012-2013,Drew Miller,DET,F,269.0,40.0,,22.0,275.0,83.0,281.0,284.0,33.0,376.0,101.0,164.0,,269.0,Bottom 6,44,607.95,4,2,28,1984-02-17,USA,USA,74,183,2003,6,19,186
2012-2013,Drew Shore,FLA,F,70.0,213.0,187.0,108.0,14.0,238.0,124.0,327.0,92.0,142.0,405.0,300.0,139.0,235.0,Second Line,43,679.7,3,7,21,1991-01-29,USA,USA,75,209,2009,2,14,44
2012-2013,Drew Stafford,BUF,F,84.0,404.0,100.0,141.0,256.0,355.0,52.0,148.0,195.0,126.0,293.0,261.0,,110.0,Second Line,46,782.86666666667,6,6,26,1985-10-30,USA,USA,74,215,2004,1,13,13
2012-2013,Dustin Brown,LAK,F,98.0,126.0,55.0,52.0,80.0,36.0,74.0,43.0,112.0,136.0,4.0,67.0,,63.0,First Line,46,897.06666666667,18,9,27,1984-11-04,USA,USA,72,205,2003,1,13,13
2012-2013,Dustin Jeffrey,PIT,F,330.0,92.0,,,331.0,34.0,287.0,210.0,55.0,339.0,99.0,344.0,97.0,312.0,Bottom 6,24,276.31666666667,3,2,24,1988-02-27,CAN,CAN,73,205,2007,6,20,171
2012-2013,Dustin Penner,LAK,F,99.0,168.0,245.0,228.0,178.0,74.0,113.0,291.0,151.0,163.0,346.0,151.0,196.0,227.0,Bottom 6,33,419.03333333333,2,6,29,1982-09-28,CAN,CAN,76,247,-,-,-,-
2012-2013,Dwight King,LAK,F,265.0,104.0,,,137.0,46.0,290.0,274.0,322.0,255.0,341.0,191.0,,288.0,Bottom 6,47,599.53333333333,4,3,23,1989-07-05,CAN,CAN,76,229,2007,4,18,109
2012-2013,Emerson Etem,ANA,F,187.0,174.0,,112.0,322.0,272.0,256.0,344.0,64.0,54.0,276.0,190.0,,318.0,Bottom 6,38,435.55,3,6,20,1992-06-16,USA,USA,73,212,2010,1,29,29
2012-2013,Eric Belanger,EDM,F,362.0,422.0,226.0,89.0,349.0,428.0,338.0,420.0,420.0,344.0,305.0,315.0,18.0,320.0,Bottom 6,26,367.23333333333,0,2,34,1977-12-16,CAN,CAN,71,185,1996,4,16,96
2012-2013,Eric Boulton,NYI,F,429.0,100.0,,,423.0,137.0,413.0,433.0,4.0,424.0,433.0,15.0,,432.0,Fringe,15,85.1,0,0,36,1976-08-17,CAN,CAN,72,227,1994,9,26,234
2012-2013,Eric Fehr,WSH,F,219.0,34.0,258.0,,206.0,68.0,64.0,112.0,156.0,357.0,147.0,259.0,,245.0,Bottom 6,41,548.21666666667,9,3,26,1985-09-07,CAN,CAN,76,209,2003,1,18,18
2012-2013,Eric Nystrom,DAL,F,377.0,328.0,,90.0,369.0,323.0,367.0,272.0,408.0,393.0,270.0,71.0,,315.0,Bottom 6,48,688.8,7,3,29,1983-02-14,USA,USA,73,200,2002,1,10,10
2012-2013,Eric Staal,CAR,F,8.0,434.0,32.0,77.0,17.0,435.0,61.0,52.0,74.0,7.0,253.0,348.0,47.0,11.0,First Line,48,1007.8,18,23,27,1984-10-29,CAN,CAN,76,195,2003,1,2,2
2012-2013,Eric Tangradi,"PIT, WPG",F,321.0,33.0,,,260.0,64.0,271.0,400.0,110.0,354.0,320.0,55.0,,401.0,Bottom 6,41,413.46666666667,1,2,23,1989-02-10,USA,USA,76,226,2007,2,12,42
2012-2013,Erik Cole,"DAL, MTL",F,203.0,360.0,147.0,150.0,268.0,374.0,126.0,70.0,351.0,297.0,24.0,120.0,,125.0,Second Line,47,770.43333333333,9,1,33,1978-11-06,USA,USA,74,205,1998,3,13,71
2012-2013,Erik Condra,OTT,F,143.0,29.0,,127.0,65.0,66.0,193.0,311.0,197.0,240.0,283.0,416.0,,237.0,Bottom 6,48,632.36666666667,4,4,26,1986-08-06,USA,USA,71,185,2006,7,28,211
2012-2013,Evander Kane,WPG,F,9.0,344.0,129.0,175.0,135.0,321.0,4.0,26.0,134.0,62.0,189.0,95.0,,28.0,First Line,48,981.71666666667,17,12,21,1991-08-02,CAN,CAN,74,210,2009,1,4,4
2012-2013,Evgeni Malkin,PIT,F,4.0,182.0,1.0,,3.0,134.0,8.0,10.0,17.0,2.0,68.0,397.0,93.0,3.0,First Line,31,610.78333333333,9,14,26,1986-07-31,RUS,RUS,75,195,2004,1,2,2
2012-2013,Frans Nielsen,NYI,F,188.0,200.0,70.0,64.0,191.0,339.0,273.0,298.0,340.0,172.0,156.0,407.0,100.0,111.0,First Line,48,864.81666666667,6,10,28,1984-04-24,DNK,DNK,73,186,2002,3,24,87
2012-2013,Frazer McLaren,"SJS, TOR",F,418.0,245.0,,,434.0,252.0,310.0,245.0,13.0,400.0,434.0,10.0,,414.0,Fringe,36,187.35,3,1,24,1987-10-29,CAN,CAN,77,230,2007,7,22,203
2012-2013,Gabriel Bourque,NSH,F,271.0,136.0,,,240.0,225.0,308.0,152.0,270.0,263.0,131.0,192.0,,215.0,Second Line,34,538.3,11,3,21,1990-09-23,CAN,CAN,70,206,2009,5,11,132
2012-2013,Gabriel Landeskog,COL,F,102.0,123.0,174.0,103.0,163.0,205.0,40.0,129.0,304.0,207.0,306.0,125.0,,64.0,First Line,36,695.73333333333,9,4,19,1992-11-23,SWE,SWE,73,215,2011,1,2,2
2012-2013,George Parros,FLA,F,427.0,180.0,,,418.0,276.0,431.0,426.0,8.0,415.0,412.0,36.0,,429.0,Fringe,39,257.8,1,0,32,1979-12-29,USA,USA,77,224,1999,8,7,222
2012-2013,Gregory Campbell,BOS,F,355.0,261.0,,57.0,273.0,312.0,382.0,353.0,328.0,352.0,284.0,157.0,74.0,311.0,Bottom 6,48,658.35,4,6,28,1983-12-17,CAN,CAN,72,188,2002,3,4,67
2012-2013,Guillaume Latendresse,OTT,F,195.0,139.0,195.0,,241.0,128.0,142.0,94.0,29.0,271.0,401.0,177.0,,220.0,Bottom 6,27,399.61666666667,6,3,25,1987-05-24,CAN,CAN,74,230,2005,2,15,45
2012-2013,Gustav Nyquist,DET,F,52.0,95.0,184.0,,39.0,166.0,42.0,100.0,15.0,152.0,219.0,435.0,,271.0,Bottom 6,22,286.86666666667,3,2,23,1989-09-01,SWE,SWE,71,180,2008,4,30,121
2012-2013,Henrik Sedin,VAN,F,103.0,127.0,44.0,,7.0,57.0,397.0,280.0,3.0,5.0,210.0,409.0,67.0,79.0,First Line,48,928.68333333333,11,18,31,1980-09-26,SWE,SWE,74,183,1999,1,3,3
2012-2013,Henrik Zetterberg,DET,F,33.0,304.0,6.0,136.0,53.0,193.0,17.0,105.0,46.0,14.0,168.0,398.0,73.0,13.0,First Line,46,944.05,11,19,31,1980-10-09,SWE,SWE,72,197,1999,7,24,210
2012-2013,Ilya Kovalchuk,NJD,F,183.0,278.0,71.0,119.0,295.0,49.0,75.0,109.0,52.0,111.0,174.0,425.0,,14.0,First Line,37,915.28333333333,11,11,29,1983-04-15,RUS,RUS,75,222,2001,1,1,1
2012-2013,J.T. Miller,NYR,F,299.0,298.0,181.0,,218.0,337.0,184.0,287.0,206.0,322.0,175.0,131.0,134.0,323.0,Bottom 6,26,351.61666666667,2,2,19,1993-03-14,USA,USA,73,218,2011,1,15,15
2012-2013,Jack Skille,FLA,F,133.0,233.0,,173.0,314.0,247.0,83.0,305.0,191.0,171.0,17.0,62.0,,275.0,Bottom 6,40,532.95,3,6,25,1987-05-19,USA,USA,73,216,2005,1,7,7
2012-2013,Jacob Josefson,NJD,F,383.0,38.0,,184.0,364.0,14.0,401.0,405.0,287.0,308.0,94.0,357.0,77.0,380.0,Bottom 6,22,285.6,1,2,21,1991-03-02,SWE,SWE,72,196,2009,1,20,20
2012-2013,Jaden Schwartz,STL,F,368.0,23.0,,,383.0,53.0,369.0,282.0,238.0,335.0,259.0,286.0,,321.0,Bottom 6,45,561.06666666667,7,4,20,1992-06-25,CAN,CAN,70,185,2010,1,14,14
2012-2013,Jakob Silfverberg,OTT,F,48.0,394.0,189.0,111.0,141.0,362.0,35.0,142.0,48.0,173.0,321.0,314.0,,169.0,Second Line,48,778.98333333333,10,8,21,1990-10-13,SWE,SWE,73,207,2009,2,9,39
2012-2013,Jakub Voracek,PHI,F,60.0,336.0,12.0,,57.0,240.0,65.0,46.0,232.0,35.0,178.0,368.0,,58.0,Second Line,48,827.4,22,13,23,1989-08-15,CZE,CZE,74,216,2007,1,7,7
2012-2013,Jamal Mayers,CHI,F,341.0,110.0,,192.0,321.0,95.0,374.0,416.0,253.0,309.0,408.0,68.0,148.0,408.0,Fringe,19,132.43333333333,0,1,37,1974-10-24,CAN,CAN,73,222,1993,4,11,89
2012-2013,James Neal,PIT,F,12.0,240.0,15.0,,19.0,192.0,6.0,4.0,16.0,59.0,275.0,209.0,,10.0,Second Line,40,698.75,21,9,24,1987-09-03,CAN,CAN,75,212,2005,2,3,33
2012-2013,James Sheppard,SJS,F,345.0,140.0,,,192.0,262.0,292.0,402.0,314.0,407.0,362.0,82.0,,377.0,Bottom 6,32,375.98333333333,1,1,24,1988-04-25,CAN,CAN,73,215,2006,1,9,9
2012-2013,James Wright,WPG,F,422.0,207.0,,110.0,396.0,281.0,414.0,422.0,265.0,422.0,44.0,184.0,,397.0,Bottom 6,38,440.76666666667,2,1,22,1990-03-24,CAN,CAN,76,210,2008,4,26,117
2012-2013,James van Riemsdyk,TOR,F,43.0,411.0,82.0,190.0,79.0,404.0,32.0,35.0,102.0,132.0,289.0,251.0,,81.0,First Line,48,921.95,18,6,23,1989-05-04,USA,USA,75,208,2007,1,2,2
2012-2013,Jamie Benn,DAL,F,73.0,161.0,57.0,215.0,184.0,271.0,79.0,65.0,97.0,40.0,180.0,178.0,154.0,33.0,First Line,41,816.31666666667,12,14,23,1989-07-18,CAN,CAN,74,205,2007,5,8,129
2012-2013,Jamie McGinn,COL,F,113.0,281.0,223.0,,194.0,285.0,70.0,96.0,114.0,162.0,151.0,119.0,,170.0,Second Line,47,812.38333333333,11,8,24,1988-08-05,CAN,CAN,73,205,2006,2,6,36
2012-2013,Jannik Hansen,VAN,F,127.0,359.0,238.0,70.0,239.0,291.0,228.0,253.0,325.0,110.0,143.0,206.0,,187.0,Second Line,47,825.06666666667,10,10,26,1986-03-15,DNK,DNK,73,198,2004,9,29,287
2012-2013,Jared Boll,CBJ,F,417.0,162.0,,,424.0,92.0,404.0,407.0,113.0,362.0,87.0,22.0,,420.0,Fringe,43,347.55,2,3,26,1986-05-13,USA,USA,75,206,2005,4,10,101
2012-2013,Jarome Iginla,"CGY, PIT",F,86.0,364.0,52.0,,207.0,308.0,48.0,39.0,266.0,51.0,157.0,232.0,64.0,32.0,First Line,44,827.65,14,13,35,1977-07-01,CAN,CAN,73,210,1995,1,11,11
2012-2013,Jaromir Jagr,"BOS, DAL",F,83.0,408.0,168.0,,37.0,327.0,105.0,61.0,86.0,64.0,271.0,424.0,,82.0,First Line,45,824.85,16,10,40,1972-02-15,CZE,CZE,75,230,1990,1,5,5
2012-2013,Jarret Stoll,LAK,F,336.0,24.0,89.0,45.0,258.0,12.0,289.0,347.0,315.0,305.0,383.0,121.0,10.0,209.0,Second Line,48,792.88333333333,7,6,30,1982-06-24,CAN,CAN,73,216,2002,2,6,36
2012-2013,Jason Chimera,WSH,F,114.0,389.0,257.0,160.0,224.0,328.0,54.0,240.0,240.0,178.0,366.0,139.0,,218.0,Bottom 6,47,595.71666666667,3,6,33,1979-05-02,CAN,CAN,75,215,1997,5,15,121
2012-2013,Jason Pominville,"BUF, MIN",F,100.0,335.0,33.0,85.0,132.0,399.0,108.0,110.0,130.0,86.0,46.0,414.0,186.0,43.0,First Line,47,948.45,14,12,29,1982-11-30,CAN,USA,72,180,2001,2,25,55
2012-2013,Jason Zucker,MIN,F,258.0,313.0,,,200.0,210.0,82.0,72.0,414.0,425.0,359.0,305.0,,295.0,Bottom 6,20,225.3,4,0,20,1992-01-16,USA,USA,71,192,2010,2,29,59
2012-2013,Jay Beagle,WSH,F,364.0,134.0,,180.0,335.0,153.0,316.0,369.0,350.0,409.0,351.0,149.0,23.0,370.0,Bottom 6,48,581.03333333333,2,3,26,1985-10-16,CAN,CAN,75,210,-,-,-,-
2012-2013,Jay McClement,TOR,F,395.0,332.0,,29.0,395.0,401.0,398.0,331.0,429.0,387.0,208.0,212.0,53.0,284.0,Bottom 6,48,731.95,8,2,29,1983-03-02,CAN,CAN,73,205,2001,2,27,57
2012-2013,Jay Pandolfo,BOS,F,432.0,246.0,,197.0,426.0,371.0,427.0,435.0,389.0,430.0,105.0,160.0,,411.0,Bottom 6,18,163.31666666667,0,0,37,1974-12-27,USA,USA,73,190,1993,2,6,32
2012-2013,Jeff Carter,LAK,F,79.0,225.0,37.0,159.0,99.0,154.0,18.0,5.0,148.0,220.0,245.0,391.0,51.0,39.0,Second Line,48,843.75,26,6,27,1985-01-01,CAN,CAN,75,219,2003,1,11,11
2012-2013,Jeff Halpern,"MTL, NYR",F,390.0,30.0,,54.0,297.0,69.0,430.0,415.0,431.0,372.0,96.0,196.0,12.0,385.0,Bottom 6,46,468.48333333333,1,1,36,1976-05-03,USA,USA,72,190,-,-,-,-
2012-2013,Jeff Skinner,CAR,F,18.0,427.0,35.0,,34.0,431.0,10.0,15.0,205.0,55.0,3.0,347.0,,51.0,First Line,42,775.46666666667,13,7,20,1992-05-16,CAN,CAN,71,197,2010,1,7,7
2012-2013,Jerred Smithson,"EDM, FLA",F,423.0,165.0,,78.0,419.0,233.0,434.0,421.0,413.0,402.0,317.0,70.0,11.0,396.0,Bottom 6,45,479.73333333333,3,3,33,1979-02-04,CAN,CAN,75,209,-,-,-,-
2012-2013,Jim O'Brien,OTT,F,211.0,147.0,,185.0,197.0,179.0,247.0,283.0,157.0,371.0,308.0,208.0,120.0,328.0,Bottom 6,29,331.31666666667,5,1,23,1989-01-29,USA,USA,75,195,2007,1,29,29
2012-2013,Jim Slater,WPG,F,373.0,260.0,,121.0,373.0,315.0,313.0,354.0,433.0,399.0,331.0,90.0,14.0,334.0,Bottom 6,26,271.75,1,0,29,1982-12-09,USA,USA,72,195,2002,1,30,30
2012-2013,Jiri Hudler,CGY,F,253.0,289.0,80.0,,165.0,183.0,344.0,163.0,207.0,140.0,297.0,373.0,,180.0,Second Line,42,720.68333333333,10,9,28,1984-01-04,CZE,CZE,70,190,2002,2,28,58
2012-2013,Jiri Tlusty,CAR,F,134.0,393.0,205.0,138.0,71.0,427.0,172.0,48.0,91.0,197.0,260.0,257.0,,104.0,First Line,48,875.7,23,9,24,1988-03-16,CZE,CZE,72,205,2006,1,13,13
2012-2013,Joakim Andersson,DET,F,193.0,108.0,,114.0,85.0,23.0,348.0,367.0,162.0,251.0,364.0,353.0,142.0,368.0,Bottom 6,38,459.25,3,4,23,1989-02-05,SWE,SWE,74,211,2007,3,27,88
2012-2013,Jochen Hecht,BUF,F,190.0,234.0,261.0,152.0,291.0,257.0,225.0,306.0,119.0,223.0,344.0,346.0,110.0,228.0,Bottom 6,47,643.8,5,6,35,1977-06-21,DEU,DEU,73,198,1995,2,23,49
2012-2013,Joe Pavelski,SJS,F,41.0,32.0,11.0,67.0,33.0,77.0,43.0,45.0,300.0,69.0,54.0,326.0,34.0,30.0,First Line,48,907.66666666667,16,11,28,1984-07-11,USA,USA,71,200,2003,7,8,205
2012-2013,Joe Thornton,SJS,F,96.0,142.0,5.0,181.0,6.0,87.0,326.0,270.0,249.0,13.0,158.0,386.0,13.0,74.0,First Line,48,882.15,7,20,33,1979-07-02,CAN,CAN,76,220,1997,1,1,1
2012-2013,Joe Vitale,PIT,F,393.0,61.0,,,412.0,150.0,364.0,372.0,374.0,338.0,265.0,101.0,112.0,376.0,Bottom 6,33,314.05,2,2,27,1985-08-20,USA,USA,71,205,2005,7,1,195
2012-2013,Joel Ward,WSH,F,302.0,54.0,219.0,147.0,278.0,94.0,339.0,297.0,353.0,267.0,204.0,249.0,,226.0,Bottom 6,39,590.01666666667,8,6,31,1980-12-02,CAN,CAN,73,225,-,-,-,-
2012-2013,Joey Crabb,WSH,F,385.0,159.0,,205.0,361.0,219.0,379.0,332.0,332.0,380.0,329.0,156.0,,344.0,Bottom 6,26,244.88333333333,2,0,29,1983-04-03,USA,USA,73,188,2002,7,29,226
2012-2013,Joffrey Lupul,TOR,F,32.0,431.0,101.0,,117.0,434.0,44.0,1.0,219.0,17.0,159.0,168.0,,16.0,Second Line,16,257.96666666667,11,5,28,1983-09-23,CAN,CAN,73,206,2002,1,7,7
2012-2013,Johan Franzen,DET,F,62.0,120.0,62.0,,109.0,71.0,36.0,32.0,69.0,107.0,286.0,262.0,,47.0,First Line,41,741.56666666667,14,11,32,1979-12-23,SWE,SWE,76,232,2004,3,32,97
2012-2013,John Mitchell,COL,F,306.0,81.0,241.0,174.0,219.0,149.0,311.0,266.0,323.0,290.0,111.0,129.0,60.0,253.0,Second Line,47,787.23333333333,10,7,27,1985-01-22,CAN,CAN,73,204,2003,5,22,158
2012-2013,John Scott,BUF,F,431.0,41.0,,,399.0,16.0,429.0,436.0,19.0,435.0,418.0,34.0,,434.0,Fringe,34,185.1,0,0,29,1982-09-26,CAN,CAN,80,260,-,-,-,-
2012-2013,John Tavares,NYI,F,23.0,380.0,13.0,,9.0,359.0,31.0,7.0,41.0,53.0,15.0,399.0,61.0,6.0,First Line,48,997.18333333333,28,10,21,1990-09-20,CAN,CAN,73,216,2009,1,1,1
2012-2013,Jonathan Huberdeau,FLA,F,158.0,406.0,182.0,,107.0,396.0,133.0,93.0,100.0,143.0,242.0,340.0,,107.0,Second Line,48,812.51666666667,14,9,19,1993-06-04,CAN,CAN,73,200,2011,1,3,3
2012-2013,Jonathan Toews,CHI,F,14.0,53.0,127.0,6.0,8.0,65.0,73.0,17.0,94.0,80.0,29.0,380.0,3.0,15.0,First Line,47,909.08333333333,23,13,24,1988-04-29,CAN,CAN,74,201,2006,1,3,3
2012-2013,Jordan Caron,BOS,F,308.0,324.0,,,356.0,294.0,251.0,281.0,144.0,289.0,392.0,166.0,,341.0,Bottom 6,17,159.9,1,1,21,1990-11-02,CAN,CAN,75,204,2009,1,25,25
2012-2013,Jordan Eberle,EDM,F,22.0,417.0,74.0,,44.0,406.0,111.0,42.0,220.0,24.0,41.0,370.0,,52.0,First Line,48,911.76666666667,16,16,22,1990-05-15,CAN,CAN,71,190,2008,1,22,22
2012-2013,Jordan Nolan,LAK,F,394.0,86.0,,,380.0,21.0,416.0,388.0,56.0,314.0,243.0,41.0,,416.0,Fringe,44,372.81666666667,2,3,23,1989-06-23,CAN,CAN,75,219,2009,7,5,186
2012-2013,Jordan Schroeder,VAN,F,353.0,175.0,196.0,,285.0,277.0,423.0,390.0,35.0,193.0,382.0,411.0,144.0,356.0,Bottom 6,31,425.1,3,5,21,1990-09-29,USA,USA,69,170,2009,1,22,22
2012-2013,Jordan Staal,CAR,F,65.0,385.0,111.0,82.0,12.0,379.0,204.0,128.0,285.0,78.0,272.0,186.0,69.0,83.0,First Line,48,963.71666666667,10,14,23,1988-09-10,CAN,CAN,76,220,2006,1,2,2
2012-2013,Jordin Tootoo,DET,F,198.0,251.0,,,366.0,170.0,151.0,346.0,42.0,93.0,85.0,69.0,,317.0,Bottom 6,42,381.48333333333,3,4,29,1983-02-02,CAN,CAN,69,195,2001,4,2,98
2012-2013,Josh Bailey,NYI,F,284.0,334.0,91.0,176.0,170.0,369.0,291.0,158.0,336.0,239.0,193.0,324.0,173.0,189.0,Second Line,38,622.4,11,5,22,1989-10-02,CAN,CAN,73,200,2008,1,9,9
2012-2013,Jussi Jokinen,"CAR, PIT",F,153.0,329.0,72.0,122.0,58.0,386.0,277.0,114.0,291.0,167.0,335.0,375.0,24.0,137.0,Bottom 6,43,663.55,13,5,29,1983-04-01,FIN,FIN,72,191,2001,6,27,192
2012-2013,Justin Abdelkader,DET,F,144.0,69.0,,167.0,176.0,29.0,135.0,187.0,73.0,292.0,42.0,73.0,158.0,264.0,Bottom 6,48,710.95,10,2,25,1987-02-25,USA,USA,74,213,2005,2,12,42
2012-2013,Justin Williams,LAK,F,7.0,93.0,86.0,,16.0,15.0,21.0,64.0,166.0,58.0,170.0,358.0,,59.0,Second Line,48,815.51666666667,11,10,30,1981-10-04,CAN,CAN,73,184,2000,1,28,28
2012-2013,Kaspars Daugavins,"BOS, OTT",F,263.0,399.0,,101.0,154.0,412.0,214.0,396.0,356.0,390.0,187.0,221.0,,355.0,Bottom 6,25,275.36666666667,1,0,24,1988-05-18,LVA,LVA,72,213,2006,3,28,91
2012-2013,Keith Aucoin,NYI,F,192.0,189.0,,,52.0,246.0,373.0,308.0,254.0,225.0,23.0,309.0,116.0,310.0,Bottom 6,41,512.2,6,4,33,1978-11-06,USA,USA,68,171,-,-,-,-
2012-2013,Kevin Porter,BUF,F,382.0,166.0,269.0,154.0,389.0,223.0,357.0,312.0,179.0,353.0,173.0,146.0,179.0,316.0,Bottom 6,31,472.08333333333,4,4,26,1986-03-12,USA,USA,72,190,2004,4,21,119
2012-2013,Kevin Westgarth,CAR,F,365.0,321.0,,,371.0,160.0,335.0,339.0,39.0,330.0,429.0,43.0,,426.0,Fringe,31,177.36666666667,2,1,28,1984-02-07,CAN,CAN,76,234,-,-,-,-
2012-2013,Krys Barch,NJD,F,436.0,59.0,,,427.0,9.0,436.0,428.0,30.0,434.0,425.0,37.0,,433.0,Fringe,22,128.78333333333,0,0,32,1980-03-26,CAN,CAN,74,225,1998,4,20,106
2012-2013,Kyle Brodziak,MIN,F,356.0,201.0,19.0,27.0,339.0,197.0,279.0,214.0,416.0,351.0,240.0,281.0,76.0,196.0,Second Line,48,833.03333333333,8,1,28,1984-05-25,CAN,CAN,74,205,2003,7,17,214
2012-2013,Kyle Chipchura,PHX,F,204.0,354.0,,,208.0,326.0,393.0,348.0,67.0,48.0,75.0,118.0,88.0,379.0,Bottom 6,46,445.98333333333,5,9,26,1986-02-19,CAN,CAN,74,203,2004,1,18,18
2012-2013,Kyle Clifford,LAK,F,285.0,135.0,,,306.0,47.0,243.0,255.0,57.0,320.0,373.0,18.0,,363.0,Bottom 6,48,509.1,7,3,21,1991-01-13,CAN,CAN,74,217,2009,2,5,35
2012-2013,Kyle Okposo,NYI,F,95.0,357.0,159.0,,66.0,364.0,181.0,184.0,294.0,96.0,205.0,294.0,157.0,158.0,Second Line,48,813.88333333333,4,14,24,1988-04-16,USA,USA,72,218,2006,1,7,7
2012-2013,Kyle Palmieri,ANA,F,53.0,248.0,192.0,,261.0,236.0,26.0,37.0,215.0,175.0,148.0,203.0,,179.0,Bottom 6,42,517.73333333333,10,6,21,1991-02-01,USA,USA,71,198,2009,1,26,26
2012-2013,Kyle Turris,OTT,F,69.0,381.0,109.0,193.0,31.0,350.0,104.0,165.0,106.0,92.0,226.0,369.0,86.0,122.0,First Line,48,942.68333333333,12,12,23,1989-08-14,CAN,CAN,73,190,2007,1,3,3
2012-2013,Kyle Wellwood,WPG,F,200.0,178.0,213.0,,56.0,109.0,386.0,241.0,190.0,191.0,37.0,429.0,159.0,259.0,Bottom 6,39,506.08333333333,6,5,29,1983-05-16,CAN,CAN,70,181,2001,5,3,134
